Abnormality of body height	HP:0000002
Absence of upper jaw bones	HP:0010667
Deformity of the zygomatic bone	HP:0010668
Malformation of the zygomatic bone	HP:0010668
Abnormality of the cheekbone	HP:0010668
Deformity of the cheekbone	HP:0010668
Anomaly of the zygomatic bone	HP:0010668
Abnormality of the zygomatic bone	HP:0010668
Small zygomatic bone	HP:0010669
Hypotrophic cheekbone	HP:0010669
Cheekbone underdevelopment	HP:0010669
Underdevelopment of cheekbone	HP:0010669
Flattening of the zygomatic bone	HP:0010669
Hypotrophy of the cheekbone	HP:0010669
Small malar bone	HP:0010669
Hypotrophic zygomatic bone	HP:0010669
Hypotrophy of the zygomatic bone	HP:0010669
Underdevelopment of zygomatic bone	HP:0010669
Depressed cheekbone	HP:0010669
Hypoplasia of cheekbone	HP:0010669
Decreased size of zygomatic bone	HP:0010669
Hypoplasia of the zygomatic bone	HP:0010669
Decreased size of cheekbone	HP:0010669
Depressed zygomatic bone	HP:0010669
Small cheekbone	HP:0010669
Abnormality of the 3rd long bone of foot	HP:0010672
Abnormality of the third metatarsal bone	HP:0010672
Abnormal curve of the backbone	HP:0010674
Abnormality of the curvature of the vertebral column	HP:0010674
Abnormal curve of the spine	HP:0010674
Abnormality of the mineralisation and ossification of bones of the feet	HP:0010675
Abnormal maturation of foot bones	HP:0010675
Abnormal foot bone ossification	HP:0010675
Abnormal ossification involving bones of the feet	HP:0010675
Mechanical ileus	HP:0010676
Enuresis nocturna	HP:0010677
Nocturnal enuresis	HP:0010677
Enuresis diurna	HP:0010678
Elevated tissue non-specific ALP	HP:0010679
Elevated alkaline phosphatase, liver/bone/kidney	HP:0010679
Elevated tissue non-specific alkaline phosphatase	HP:0010679
Elevated ALP of renal origin	HP:0010680
Elevated alkaline phosphatase of renal origin	HP:0010680
Elevated intestinal alkaline phosphatase	HP:0010681
Elevated intestinal ALP	HP:0010681
Elevated placental ALP	HP:0010682
Elevated placental alkaline phosphatase	HP:0010682
Low tissue non-specific ALP	HP:0010683
Low tissue non-specific alkaline phosphatase	HP:0010683
Low ALP of bone origin	HP:0010684
Low alkaline phosphatase of bone origin	HP:0010684
Low alkaline phosphatase of renal origin	HP:0010685
Low ALP of renal origin	HP:0010685
Low alkaline phosphatase of hepatic origin	HP:0010686
Low ALP of hepatic origin	HP:0010686
Low intestinal ALP	HP:0010687
Low intestinal alkaline phosphatase	HP:0010687
Low placental alkaline phosphatase	HP:0010688
Low placental ALP	HP:0010688
Mirror image duplication of digits	HP:0010689
Mirror image polydactyly	HP:0010689
Mirror image dupliction of fingers	HP:0010690
Mirror image hand polydactyly	HP:0010690
Mirror image foot polydactyly	HP:0010691
Mirror image dupliction of toes	HP:0010691
Webbed 2nd-5th fingers	HP:0010692
Webbed index, middle and pinkie finger	HP:0010692
Webbed index, middle and pinky finger	HP:0010692
2-5 finger syndactyly	HP:0010692
Webbed index, middle and little finger	HP:0010692
Pulverulent cataract	HP:0010693
Lamellar pulverulent cataract	HP:0010694
Sutural cataract	HP:0010695
Polar cataract	HP:0010696
Pyramidal cataract	HP:0010697
Anterior pyramidal cataract	HP:0010697
Pulverulent nuclear cataract	HP:0010698
Nuclear pulverulent cataract	HP:0010698
cataracta pulverulenta centralis	HP:0010698
Central pulverulent cataract	HP:0010698
Coppock-like cataract	HP:0010698
Triangular nuclear cataract	HP:0010699
Abnormal immunoglobulin concentration	HP:0010701
Abnormal serum immunoglobulin levels	HP:0010701
Immunoglobulin abnormality	HP:0010701
Abnormal serum level of immunoglobulin	HP:0010701
Abnormal immunoglobulin level	HP:0010701
Abnormal serum immunoglobulin concentration	HP:0010701
Increased gamma globulin	HP:0010702
Hypergammaglobulinaemia	HP:0010702
Elevated immunoglobulin levels	HP:0010702
Hyperglobulinemia	HP:0010702
Raised immunoglobulin levels	HP:0010702
Hypergammaglobulinemia	HP:0010702
Increased antibody level in blood	HP:0010702
Increased immunoglobulin level	HP:0010702
Increased serum gamma globulin	HP:0010702
Webbed 1st-2nd finger	HP:0010704
Webbed thumb and index finger	HP:0010704
1-2 finger syndactyly	HP:0010704
4-5 finger syndactyly	HP:0010705
Webbed 4th-5th finger	HP:0010705
1-3 finger syndactyly	HP:0010706
Webbed 1st-3rd finger	HP:0010706
Webbed 1st-4th finger	HP:0010707
1-4 finger syndactyly	HP:0010707
Webbed 1st-5th fingers	HP:0010708
1-5 finger syndactyly	HP:0010708
Syndactyly of second to fourth fingers	HP:0010709
Webbed index through ring fingers	HP:0010709
2-4 finger syndactyly	HP:0010709
3-5 finger syndactyly	HP:0010710
Webbed third, fourth and fifth toes	HP:0010710
Webbed first and second toes	HP:0010711
1-2 toe syndactyly	HP:0010711
Webbed first through fourth toes	HP:0010712
1-4 toe syndactyly	HP:0010712
Webbed 1st-5th toes	HP:0010713
1-5 toe syndactyly	HP:0010713
Syndactyly of all toes	HP:0010713
Webbed 2nd-4th toes	HP:0010714
Syndactyly of toes 2, 3 and 4	HP:0010714
Syndactyly toes 2-4	HP:0010714
2-4 toe syndactyly	HP:0010714
Webbed 2nd-5th toes	HP:0010715
2-5 toe syndactyly	HP:0010715
Webbed 3rd-5th toes	HP:0010716
3-5 toe syndactyly	HP:0010716
Osseous syndactyly of the toes	HP:0010717
Osseous syndactyly of toes	HP:0010717
Abnormality of hair curl pattern	HP:0010719
Abnormality of hair texture	HP:0010719
Abnormality of hair consistency	HP:0010719
Abnormality of hair volume	HP:0010719
Abnormal hair pattern	HP:0010720
Abnormal distribution of hair	HP:0010720
Abnormal hair whorl	HP:0010721
Abnormal hair whorls	HP:0010721
Abnormal whorl of hair	HP:0010721
Asymmetry of the ears	HP:0010722
Asymmetric ears	HP:0010722
Cystic lesions of the pinnae	HP:0010723
Advanced pneumatization of the mastoid process	HP:0010724
Prominent corneal nerve fibers	HP:0010726
Visible corneal nerve fibers	HP:0010726
Spontaneous rupture of the globe	HP:0010727
Absent retina	HP:0010728
Aplasia of the retina	HP:0010728
Macular cherry red spot	HP:0010729
Cherry red spot of the macula	HP:0010729
Double eyebrow	HP:0010730
Duplication of eyebrow	HP:0010730
Extension of eyebrows towards upper eyelid	HP:0010731
Nodular changes affecting the eyelids	HP:0010732
Eyelid nodules	HP:0010732
Port-wine stain on eyelid	HP:0010733
Naevus flammeus of the eyelid	HP:0010733
Fibrous dysplasia of the bones	HP:0010734
Polyostotic fibrous dysplasia	HP:0010735
Monostotic fibrous dysplasia	HP:0010736
Osteopoikilosis	HP:0010739
Osteopathia striata	HP:0010740
Lower leg swelling	HP:0010741
Fluid accumulation in lower limbs	HP:0010741
Leg edema	HP:0010741
Bipedal edema	HP:0010741
Peripheral edema of lower extremity	HP:0010741
Pedal edema	HP:0010741
Edema of the lower limbs	HP:0010741
Edema of the upper limbs	HP:0010742
Fluid accumulation in upper limbs	HP:0010742
Short metatarsal bone	HP:0010743
Short long bone of foot	HP:0010743
Short metatarsal bones	HP:0010743
Short metatarsals	HP:0010743
Short metatarsal	HP:0010743
Hypoplasia of the metatarsal bones	HP:0010743
Shortened metatarsals	HP:0010743
Hypoplastic metatarsals	HP:0010743
Absent metatarsal bone	HP:0010744
Aplasia of the metatarsal bones	HP:0010744
Absent long bone of foot	HP:0010744
Aphalangia of the toes	HP:0010745
Absent bones of the toes	HP:0010745
Aplasia of the phalanges of the toes	HP:0010745
Hypoplasia of the phalanges of the toes	HP:0010746
Small toe bones	HP:0010746
Medial flaring of the eyebrow	HP:0010747
Ectopic lacrimal punctum	HP:0010748
Abnormal position of the lacrimal punctum	HP:0010748
Blepharochalasis	HP:0010749
Saggy upper eyelid skin	HP:0010749
Hooding of eyelids	HP:0010750
Eyelid dermatochalasia	HP:0010750
Droopy eyelid skin	HP:0010750
Extra eyelid skin	HP:0010750
Redundant eyelid skin	HP:0010750
Baggy eyes	HP:0010750
Dermatochalasis	HP:0010750
Chin skin dimple	HP:0010751
Chin dimples	HP:0010751
Dimple chin	HP:0010751
Gelasin of chin	HP:0010751
Indentation of chin	HP:0010751
Chin dimple	HP:0010751
Chin dent	HP:0010751
Chin butt	HP:0010751
Mandibular cleft	HP:0010752
Cleft lower jaw	HP:0010752
Cleft mandible	HP:0010752
Midline defect of mandible	HP:0010753
Midline cleft of mandible	HP:0010753
Deformity of the jaw joint	HP:0010754
Anomaly of the temporomandibular joint	HP:0010754
Deformity of the temporomandibular joint	HP:0010754
Abnormality of the jaw joint	HP:0010754
Abnormality of the temporomandibular joint	HP:0010754
Derangement of the temporomandibular joint	HP:0010754
Malformation of jaw joint	HP:0010754
Malformation of the temporomandibular joint	HP:0010754
Crooked maxilla	HP:0010755
Asymmetry of upper jaw	HP:0010755
Deviation of the maxilla	HP:0010755
Asymmetry of right and left side of the maxilla	HP:0010755
Asymmetry of the maxilla	HP:0010755
Crooked upper jaw	HP:0010755
Unequal sides of maxilla	HP:0010755
Canted upper jaw	HP:0010755
Uneven maxilla	HP:0010755
Uneven upper jaw	HP:0010755
Canted maxilla	HP:0010755
Tilted upper jaw	HP:0010755
Asymmetry of the upper jaw	HP:0010755
Deviation of the upper jaw	HP:0010755
Tilted maxilla	HP:0010755
Aplasia/hypoplasia of the intermaxillary bone	HP:0010756
Aplasia/hypoplasia of the primary palate bone	HP:0010756
Aplasia/Hypoplasia of the premaxilla	HP:0010756
Failure of development of premaxilla	HP:0010757
Failure of development of the primary palate bone	HP:0010757
Aplasia of the primary palate bone	HP:0010757
Absence of the intermaxillary bone	HP:0010757
Absence of the premaxilla	HP:0010757
Absence of the primary palate bone	HP:0010757
Aplasia of the intermaxillary bone	HP:0010757
Missing primary palate bone	HP:0010757
Aplasia of the premaxilla	HP:0010757
Missing premaxilla	HP:0010757
Abnormality of the premaxillary bone	HP:0010758
Abnormality of the intermaxillary segment of the maxilla	HP:0010758
Abnormality of the intermaxillary bone	HP:0010758
Abnormality of the premaxilla	HP:0010758
Abnormality of the primary palate bone	HP:0010758
Prominence of the intermaxillary bone	HP:0010759
Anterior position of the primary palate bone	HP:0010759
Anterior position of the premaxilla	HP:0010759
Premaxillary bone excess	HP:0010759
Prominence of the premaxilla	HP:0010759
Prominence of the primary palate bone	HP:0010759
Absent toe	HP:0010760
Aplasia of toe	HP:0010760
Aplasia of the toes	HP:0010760
Absent toes	HP:0010760
Increased width of columella	HP:0010761
Hyperplasia of columella	HP:0010761
Fullness of columella	HP:0010761
Columella, wide	HP:0010761
Broad columella	HP:0010761
Columella, broad	HP:0010761
Chordoma	HP:0010762
Columella, low insertion	HP:0010763
Low insertion of columella	HP:0010763
Ala higher than columella	HP:0010763
Decreased length of eyelashes	HP:0010764
Short eyelashes	HP:0010764
Palmar hyperkeratosis	HP:0010765
Ectopic calcification	HP:0010766
Sacrococcygeal pilonidal abnormality	HP:0010767
Pilonidal cyst	HP:0010769
Pilonidal sinus	HP:0010769
Pilonidal fistula	HP:0010770
Sacrococcygeal fistula	HP:0010771
Pilonidal abscess	HP:0010771
Anomalous pulmonary venous return	HP:0010772
Partial anomalous pulmonary venous connection	HP:0010773
Partial anomalous pulmonary venous return	HP:0010773
Triatrial heart	HP:0010774
Cor triatriatum	HP:0010774
Vascular ring of aorta	HP:0010775
Vascular ring	HP:0010775
Tracheobronchmegaly	HP:0010776
Bronchomegaly	HP:0010777
Tracheomegaly	HP:0010778
Large pelvis bone	HP:0010779
Large pelvis	HP:0010779
Hyperacusis	HP:0010780
Skin dimple	HP:0010781
Skin dimples	HP:0010781
Shoulder dimple	HP:0010782
Bi-acromial dimples	HP:0010782
Shoulder dimples	HP:0010782
Acromial dimple	HP:0010782
Erythema	HP:0010783
Redness of skin or mucous membrane	HP:0010783
Uterine neoplasm	HP:0010784
Uterine cancer	HP:0010784
Uterine neoplasia	HP:0010784
Uterine tumor	HP:0010784
Gonadal neoplasm	HP:0010785
Gonadal neoplasia	HP:0010785
Urinary tract neoplasia	HP:0010786
Urinary tract neoplasm	HP:0010786
Genital neoplasm	HP:0010787
Genital tumor	HP:0010787
Genital neoplasia	HP:0010787
Testicular neoplasm	HP:0010788
Testicular cancer	HP:0010788
Testicular neoplasia	HP:0010788
Testicular tumor	HP:0010788
Abnormality of the Leydig cells	HP:0010789
Hyoplasia of the Leydig cells	HP:0010790
Hyperplasia of the Leydig cells	HP:0010791
Bifid nail	HP:0010793
duplicated nail	HP:0010793
Notched nail	HP:0010793
Impaired visuospatial constructive cognition	HP:0010794
Cerebellar glioma	HP:0010795
Brainstem glioma	HP:0010796
Hemangioblastoma	HP:0010797
Haemangioblastoma	HP:0010797
Labial lentigo	HP:0010798
Ephelis of lip	HP:0010798
Lip lentigo	HP:0010798
Lip freckle	HP:0010798
Pinealoma	HP:0010799
Agenesis of cupid's bow	HP:0010800
Lack of cupid's bow	HP:0010800
Missing cupid's bow	HP:0010800
Aplasia of cupid's bow	HP:0010800
Failure of development of cupid's bow	HP:0010800
Absent cupid's bow	HP:0010800
Underdeveloped nasolabial fold	HP:0010801
Nasolabial crease, hypoplastic	HP:0010801
Nasolabial crease, underdeveloped	HP:0010801
Shallow nasolabial fold	HP:0010801
Nasolabial fold, hypoplastic	HP:0010801
Flat nasolabial fold	HP:0010801
Darkening of skin around the mouth	HP:0010802
Perioral hyperpigmentation	HP:0010802
Increased pigmentation around the mouth	HP:0010802
Outward turned upper lip	HP:0010803
Protruding upper lip	HP:0010803
Everted upper lip	HP:0010803
Eclabium of upper lip	HP:0010803
Everted upper lip vermilion	HP:0010803
Drooping upper lip	HP:0010803
Everted prominent upper lip	HP:0010803
Tented upper lip vermilion	HP:0010804
Tented mouth	HP:0010804
Tented upper lip	HP:0010804
Inverted V-shaped upper lip	HP:0010804
Upturned oral commisures	HP:0010805
Upturned mouth	HP:0010805
Upturned corners of mouth	HP:0010805
Carp-like mouth	HP:0010806
Large, carp-shaped mouth	HP:0010806
Carp-shaped mouth	HP:0010806
Wide, carp-shaped mouth	HP:0010806
Fish mouth	HP:0010806
U-Shaped upper lip vermilion	HP:0010806
Open bite	HP:0010807
Absence of overlap of upper and lower teeth	HP:0010807
Open bite between upper and lower teeth	HP:0010807
Protruding tongue	HP:0010808
Tongue sticking out of mouth	HP:0010808
Prolapse of tongue	HP:0010808
Lingual prolapse	HP:0010808
Lingual protrusion	HP:0010808
Lingual prominence	HP:0010808
Prominent tongue	HP:0010808
Tongue protrusion	HP:0010808
Broad uvula	HP:0010809
Wide uvula	HP:0010809
Hyperplasia of uvula	HP:0010810
Elongated uvula	HP:0010810
Long uvula	HP:0010810
Long palatine uvula	HP:0010810
Narrow palatine uvula	HP:0010811
Narrow uvula	HP:0010811
Thin uvula	HP:0010811
Blunt uvula	HP:0010812
Short palatine uvula	HP:0010812
Hypoplastic uvula	HP:0010812
Short uvula	HP:0010812
Abnormal number of hair swirls	HP:0010813
Extra hair whorl	HP:0010813
Double crown (hair whorls)	HP:0010813
Abnormal number of hair whorls	HP:0010813
Supernumary hair whorl	HP:0010813
Supernumary hair swirls	HP:0010813
Extra hair swirls	HP:0010813
Abnormal location of hair swirl	HP:0010814
Abnormal position of hair whorl	HP:0010814
Sebaceous naevus	HP:0010815
Organoid nevus	HP:0010815
Sebaceous mole	HP:0010815
Sebaceous nevus	HP:0010815
Naevus sebaceous	HP:0010815
Nevus sebaceous	HP:0010815
Epidermal nevus	HP:0010816
Epidermal nevi	HP:0010816
Linear nevus sebaceous	HP:0010817
Hypertonic seizures	HP:0010818
Generalized tonic seizures	HP:0010818
drop attacks	HP:0010819
Atonic seizures	HP:0010819
Hypotonic seizures	HP:0010819
Sudden loss of muscle tone	HP:0010819
drop seizures	HP:0010819
astatic seizures	HP:0010819
Dacrystic seizures	HP:0010820
Gelastic seizures	HP:0010821
Scintillating scotoma	HP:0010822
Cranial suture ridges	HP:0010823
Ridged cranial sutures	HP:0010823
Abnormality of the fifth cranial nerve	HP:0010824
Abnormality of the nervus trigeminus	HP:0010824
Abnormal fifth cranial nerve morphology	HP:0010824
Abnormal trigeminal nerve morphology	HP:0010824
Abnormality of the accessory nerve	HP:0010825
Abnormality of cranial nerve XI	HP:0010825
Abnormality of the eleventh cranial nerve	HP:0010825
Abnormality of the hypoglossal nerve	HP:0010826
Abnormality of cranial nerve 12	HP:0010826
Abnormality of cranial nerve xii	HP:0010826
Abnormality of the twelfth cranial nerve	HP:0010826
Abnormality of the seventh cranial nerve	HP:0010827
Abnormality of the facial nerve	HP:0010827
Hemifacial spasm	HP:0010828
Hemifacial spasms	HP:0010828
Spasms on one side of the face	HP:0010828
Abnormality of temperature sensation	HP:0010829
Loss of temperature sensation	HP:0010829
Impaired temperature sensation	HP:0010829
Impaired tactile sensation	HP:0010830
Impaired touch sensation	HP:0010830
Loss of tactile sensation	HP:0010830
Abnormality of proprioception	HP:0010831
Impaired proprioception	HP:0010831
Abnormality of pain sensation	HP:0010832
Spontaneous pain sensation	HP:0010833
Trophic changes	HP:0010834
Trophic changes related to pain	HP:0010834
Dissociated sensory loss	HP:0010835
Abnormal circulating copper concentration	HP:0010836
Abnormal copper levels	HP:0010836
Hypoceruloplasminemia	HP:0010837
Decreased serum ceruloplasmin	HP:0010837
Hypoceruloplasminaemia	HP:0010837
High nonceruloplasmin-bound serum copper	HP:0010838
Increased urinary copper concentration	HP:0010839
Multifocal EEG abnormality	HP:0010841
Multifocal epileptiform discharges	HP:0010841
EEG: localized slow activity	HP:0010843
EEG with focal slow activity	HP:0010843
EEG: focal slow activity	HP:0010843
EEG: localised slow activity	HP:0010843
EEG with multifocal slow activity	HP:0010844
EEG: generalised slow activity	HP:0010845
EEG: generalized slow activity	HP:0010845
EEG with generalized slow activity	HP:0010845
EEG: persistent abnormal rhythmic activity	HP:0010846
EEG with persistent abnormal rhythmic activity	HP:0010846
EEG with spike-wave complexes (<2.5 Hz)	HP:0010847
EEG with spike-wave complexes (2.5-3.5 Hz)	HP:0010848
EEG with spike-wave complexes (>3.5 Hz)	HP:0010849
EEG with 3-4-Hz spike waves	HP:0010849
EEG with spike-wave complexes	HP:0010850
EEG with burst suppression	HP:0010851
EEG with photoparoxysmal response	HP:0010852
Photoparoxysmal response on EEG	HP:0010852
EEG with periodic lateralized epileptiform discharges	HP:0010853
EEG: periodic lateralized epileptiform discharges	HP:0010853
EEG: generalised low amplitude activity	HP:0010854
EEG with generalized low amplitude activity	HP:0010854
EEG: localised low amplitude activity	HP:0010855
EEG with localized low amplitude activity	HP:0010855
Radermecker complexes	HP:0010856
EEG with periodic complexes	HP:0010856
EEG: periodic complexes	HP:0010856
EEG: periodic abnormalities	HP:0010857
EEG with periodic abnormalities	HP:0010857
EEG with hyperventilation-induced epileptiform discharges	HP:0010858
Frank breech presentation	HP:0010859
Complete breech presentation	HP:0010860
Incomplete breech presentation	HP:0010861
Delayed fine motor development	HP:0010862
Receptive language delay	HP:0010863
Intellectual disability, severe	HP:0010864
Early and severe mental retardation	HP:0010864
Mental retardation, severe	HP:0010864
Severe mental retardation	HP:0010864
Oppositional defiant disorder	HP:0010865
Congenital anterior abdominal wall defect	HP:0010866
Abdominal wall defect	HP:0010866
Dyssynergia	HP:0010867
Ocular dyssynergia	HP:0010868
Asynergia	HP:0010869
Afferent ataxia	HP:0010871
Ataxia, sensory	HP:0010871
Spinal ataxia	HP:0010871
Sensory ataxia	HP:0010871
EKG: T-wave inversion	HP:0010872
T-wave inversion	HP:0010872
Cervical spinal cord atrophy	HP:0010873
Tendon xanthomatosis	HP:0010874
Tendon xanthomas	HP:0010874
Chaddock reflex	HP:0010875
Abnormality of circulating protein level	HP:0010876
Serum protein abnormality	HP:0010876
Abnormal circulating protein level	HP:0010876
Blood protein disease	HP:0010876
Unilateral strabismus	HP:0010877
Monocular strabismus	HP:0010877
Fetal cystic hygroma	HP:0010878
Postnatal cystic hygroma	HP:0010879
Increased nuchal translucency	HP:0010880
Umbilical cord issue	HP:0010881
Abnormality of the umbilical cord	HP:0010881
Pulmonary valve atresia	HP:0010882
Aortic valve atresia	HP:0010883
Aortic atresia	HP:0010883
Acromelia	HP:0010884
Bone infarction	HP:0010885
Osteochondronecrosis	HP:0010885
Avascular necrosis	HP:0010885
Death of bone due to decreased blood supply	HP:0010885
Aseptic bone necrosis	HP:0010885
Ischemic bone necrosis	HP:0010885
Osteonecrosis	HP:0010885
Aseptic necrosis	HP:0010885
Osteochondritis Dissecans	HP:0010886
Osteochondrosis dissecans	HP:0010886
Morbus Koehler	HP:0010888
Morbus Kienboeck	HP:0010889
Kienboeck's disease	HP:0010889
Lunatomalacia	HP:0010889
Kienböck's disease	HP:0010889
Morbus Osgood-Schlatter	HP:0010890
Osgood Schlatter disease	HP:0010890
Morbus Scheuermann	HP:0010891
Juvenile Osteochondrosis of the spine	HP:0010891
Sherman's Disease	HP:0010891
Scheuermann kyphosis	HP:0010891
Scheuermann disease	HP:0010891
Calve disease	HP:0010891
Abnormal circulating branched chain amino acid concentration	HP:0010892
Abnormality of phenylalanine metabolism	HP:0010893
Abnormal circulating phenylalanine concentration	HP:0010893
Abnormal circulating serine family amino acid concentration	HP:0010894
Abnormality of serine family amino acid metabolism	HP:0010894
Abnormal circulating glycine concentration	HP:0010895
Hypersarcosinemia	HP:0010896
High plasma sarcosine levels	HP:0010896
High urine sarcosine levels	HP:0010897
Hypersarcosinuria	HP:0010897
Abnormal circulating sarcosine concentration	HP:0010898
Abnormal circulating aspartate family amino acid concentration	HP:0010899
Abnormality of threonine metabolism	HP:0010900
Abnormal circulating threonine concentration	HP:0010900
Abnormality of methionine metabolism	HP:0010901
Abnormal circulating methionine concentration	HP:0010901
Abnormal circulating glutamine family amino acid concentration	HP:0010902
Abnormal circulating glutamine concentration	HP:0010903
Abnormal circulating histidine concentration	HP:0010904
Abnormality of histidine metabolism	HP:0010904
Histidinemia	HP:0010906
Hyperhistidinemia	HP:0010906
High blood histidine level	HP:0010906
Abnormal circulating proline concentration	HP:0010907
Abnormal circulating lysine concentration	HP:0010908
Abnormality of lysine metabolism	HP:0010908
Abnormality of arginine metabolism	HP:0010909
Abnormal circulating arginine concentration	HP:0010909
Hypervalinemia	HP:0010910
High blood valine concentration	HP:0010910
Hyperleucinemia	HP:0010911
High blood leucine concentration	HP:0010911
Abnormal circulating isoleucine concentration	HP:0010912
High blood isoleucine concentration	HP:0010913
Hyperisoleucinemia	HP:0010913
Abnormal circulating valine concentration	HP:0010914
Abnormality of valine metabolism	HP:0010914
Abnormal circulating pyruvate family amino acid concentration	HP:0010915
Abnormality of pyruvate family amino acid metabolism	HP:0010915
Abnormality of alanine metabolism	HP:0010916
Abnormal circulating alanine concentration	HP:0010916
Abnormal circulating tyrosine concentration	HP:0010917
Abnormal circulating cysteine concentration	HP:0010918
Abnormal circulating homocysteine concentration	HP:0010919
Zonular cataract	HP:0010920
Coralliform cataract	HP:0010921
Membranous cataract	HP:0010922
Anterior subcapsular cataract	HP:0010923
Posterior cortical cataract	HP:0010924
Nuclear punctate cataract	HP:0010925
Needle-shaped cataract	HP:0010926
Aculeiform cataract	HP:0010926
Fasciculiform cataract	HP:0010926
Frosted cataract	HP:0010926
Abnormal blood inorganic cation concentration	HP:0010927
Abnormality of divalent inorganic cation homeostasis	HP:0010927
Abnormality of cation homeostasis	HP:0010929
Abnormal blood cation concentration	HP:0010929
Abnormality of monovalent inorganic cation homeostasis	HP:0010930
Abnormal blood monovalent inorganic cation concentration	HP:0010930
Abnormal blood Na+ levels	HP:0010931
Abnormal circulating Na concentration	HP:0010931
Abnormality of sodium homeostasis	HP:0010931
Abnormal blood sodium concentration	HP:0010931
Abnormal circulating nucleobase concentration	HP:0010932
Abnormal nucleoside levels	HP:0010932
Hyperxanthinemia	HP:0010933
Xanthinuria	HP:0010934
Increased urinary xanthine	HP:0010934
Abnormality of the upper urinary tract	HP:0010935
Abnormality of the lower urinary tract	HP:0010936
Abnormality of the nasal skeleton	HP:0010937
Distortion of the nasal skeleton	HP:0010937
Distortion of the bones of the nose	HP:0010937
Anomaly of the nasal skeleton	HP:0010937
Deformity of the bones of the nose	HP:0010937
Malformation of the nasal skeleton	HP:0010937
Deformity of the nasal skeleton	HP:0010937
Malformation of the bones of the nose	HP:0010937
Abnormality of the external nose	HP:0010938
Deformity of the external nose	HP:0010938
Anomaly of the external nose	HP:0010938
Malformation of the external nose	HP:0010938
Malformation of the nasal bones	HP:0010939
Anomaly of the nasal bones	HP:0010939
Abnormality of the nasal bone	HP:0010939
Deformity of the nasal bones	HP:0010939
Aplasia/Hypoplasia of the nasal bone	HP:0010940
Missing nasal bone	HP:0010941
Failure of development of the nasal bone	HP:0010941
Lack of development of the nasal bone	HP:0010941
Agenesis of the nasal bone	HP:0010941
Aplasia of the nasal bone	HP:0010941
Absence of the nasal bone	HP:0010941
Echogenic intracardiac focus	HP:0010942
Echogenic bowel	HP:0010943
Echogenic fetal bowel	HP:0010943
Abnormal renal pelvis morphology	HP:0010944
Abnormality of the renal pelvis	HP:0010944
Mild fetal hydronephrosis	HP:0010945
Fetal renal pelvic dilatation	HP:0010945
Fetal pyelectasis	HP:0010945
Dilatation of the renal pelvis	HP:0010946
Abnormality of ductus venosus blood flow	HP:0010947
Abnormality of the fetal circulation system	HP:0010948
Abnormality of the fetal cardiovascular system	HP:0010948
Abnormality of umbilical vein blood flow	HP:0010949
Abnormality of the fourth ventricle	HP:0010950
Abnormality of the third ventricle	HP:0010951
Mild fetal ventriculomegaly	HP:0010952
Noncommunicating hydrocephalus	HP:0010953
Hypoplastic right heart syndrome	HP:0010954
Underdeveloped right heart	HP:0010954
Hypoplastic right heart	HP:0010954
Dilatation of the bladder	HP:0010955
Fetal megacystis	HP:0010956
Congenital posterior urethral valve	HP:0010957
Posterior urethral valves	HP:0010957
Posterior urethral valve	HP:0010957
Bilateral renal agenesis	HP:0010958
Congenital cystic adenomatoid malformation of the lung	HP:0010959
CCAM	HP:0010959
Congenital cystic disease of the lung	HP:0010959
Cystic adenomatoid lung disease	HP:0010959
Bronchopulmonary sequestration	HP:0010960
Intralobar sequestration	HP:0010961
Extralobar sequestration	HP:0010962
Absence of stomach bubble on fetal sonography	HP:0010963
Abnormal circulating long-chain fatty-acid concentration	HP:0010964
Abnormal circulating phytanic acid level	HP:0010965
Abnormal circulating fatty-acid anion concentration	HP:0010966
Abnormality of fatty acid anion	HP:0010966
Carnitine levels abnormal	HP:0010967
Abnormal circulating carnitine concentration	HP:0010967
Abnormality of liposaccharide metabolism	HP:0010968
Abnormality of glycolipid metabolism	HP:0010969
Blood group antigen abnormality	HP:0010970
Absence of Lutheran antigen on erythrocytes	HP:0010971
Ineffective erythropoiesis	HP:0010972
Anemia, dyserythropoietic	HP:0010972
Dyserythropoietic anemia	HP:0010972
Anemia of inadequate production	HP:0010972
Defective erythropoiesis	HP:0010972
Abnormal myeloid leukocyte morphology	HP:0010974
Abnormality of myeloid leukocytes	HP:0010974
Abnormal B cell count	HP:0010975
Abnormality of B cell count	HP:0010975
Abnormal number of B cells	HP:0010975
Abnormality of B cell numbers	HP:0010975
Abnormal numbers of B cells	HP:0010975
B cell lymphopenia	HP:0010976
Reduction in B cell number	HP:0010976
B lymphocytopenia	HP:0010976
Low B cell count	HP:0010976
Abnormal phagocytosis	HP:0010977
Abnormality of immune system physiology	HP:0010978
Abnormality of the level of lipoprotein cholesterol	HP:0010979
Abnormality of lipoprotein cholesterol concentration	HP:0010979
Hyperlipoproteinemia	HP:0010980
Hypolipoproteinemia	HP:0010981
Lack of fat in blood	HP:0010981
Abnormal cellular immune system morphology	HP:0010987
Abnormality of the extrinsic pathway	HP:0010988
Abnormality of the intrinsic pathway	HP:0010989
Abnormality of the common coagulation pathway	HP:0010990
Abnormal morphology of the abdominal musculature	HP:0010991
Abnormality of the abdominal musculature	HP:0010991
Stress urinary incontinence	HP:0010992
Abnormality of the cerebral subcortex	HP:0010993
Abnormality of the cerebral medulla	HP:0010993
