Abnormality of taste sensation	HP:0000223
Decreased CSF tyrosine concentration	HP:0500221
Increased CSF tryptophan concentration	HP:0500222
High tryptophan levels in cerebrospinal fluid	HP:0500222
Increased CSF phenylalanine concentration	HP:0500223
High phenylalanine levels in cerebrospinal fluid	HP:0500223
Low phenylalanine levels in cerebrospinal fluid	HP:0500224
Decreased CSF phenylalanine concentration	HP:0500224
Abnormal CSF serine family amino acid concentration	HP:0500225
Abnormal serine-family amino acid levels in cerebrospinal fluid	HP:0500225
Abnormal serine levels in cerebrospinal fluid	HP:0500226
Abnormal CSF serine concentration	HP:0500226
High serine levels in cerebrospinal fluid	HP:0500227
Increased CSF serine concentration	HP:0500227
Low serine levels in cerebrospinal fluid	HP:0500228
Decreased CSF serine concentration	HP:0500228
Abnormal CSF glycine concentration	HP:0500229
Abnormal glycine levels in cerebrospinal fluid	HP:0500229
High glycine levels in cerebrospinal fluid	HP:0500230
Increased CSF glycine concentration	HP:0500230
Abnormal pyruvate-family amino acid levels in cerebrospinal fluid	HP:0500231
Abnormal CSF pyruvate family amino acid concentration	HP:0500231
Abnormal alanine levels in cerebrospinal fluid	HP:0500232
Abnormal CSF alanine concentration	HP:0500232
Increased CSF alanine concentration	HP:0500233
High alanine levels in cerebrospinal fluid	HP:0500233
Low alanine levels in cerebrospinal fluid	HP:0500234
Decreased CSF alanine concentration	HP:0500234
Abnormal histidine levels in cerebrospinal fluid	HP:0500235
Abnormal CSF histidine concentration	HP:0500235
Increased CSF histidine concentration	HP:0500236
High histidine levels in cerebrospinal fluid	HP:0500236
Low histidine levels in cerebrospinal fluid	HP:0500237
Decreased CSF histidine concentration	HP:0500237
Abnormal CSF albumin concentration	HP:0500238
Abnormal albumin levels in cerebrospinal fluid	HP:0500238
High albumin levels in cerebrospinal fluid	HP:0500239
Increased CSF albumin concentration	HP:0500239
Abnormal CSF carnosine concentration	HP:0500240
Abnormal carnosine levels in cerebrospinal fluid	HP:0500240
Abnormal CSF homocarnosine concentration	HP:0500241
Abnormal homocarnosine levels in cerebrospinal fluid	HP:0500241
Increased CSF homocarnosine concentration	HP:0500242
High homocarnosine levels in cerebrospinal fluid	HP:0500242
Abnormal ornithine levels in cerebrospinal fluid	HP:0500243
Abnormal CSF ornithine concentration	HP:0500243
High ornithine levels in cerebrospinal fluid	HP:0500244
Increased CSF ornithine concentration	HP:0500244
Abnormal citrulline levels in cerebrospinal fluid	HP:0500245
Abnormal CSF citrulline concentration	HP:0500245
Increased CSF citrulline concentration	HP:0500246
High citrulline levels in cerebrospinal fluid	HP:0500246
Abnormal alpha-aminobutyrate levels in cerebrospinal fluid	HP:0500247
Abnormal CSF alpha-aminobutyrate concentration	HP:0500247
Increased CSF alpha-aminobutyrate concentration	HP:0500248
High alpha-aminobutyrate levels in cerebrospinal fluid	HP:0500248
Abnormality of ciliary ganglion	HP:3000025
Abnormality of cervical plexus	HP:3000035
Abnormal glossopharyngeal nerve morphology	HP:3000047
Abnormality of glossopharyngeal nerve	HP:3000047
Abnormal great auricular nerve morphology	HP:3000048
Abnormality of inferior alveolar nerve	HP:3000055
Abnormality of infra-orbital nerve	HP:3000061
Abnormality of the infraorbital nerve	HP:3000061
Abnormality of lingual nerve	HP:3000075
Abnormal lingual nerve morphology	HP:3000075
Kinesiophobia	HP:4000009
Abnormal interest	HP:4000068
Fixation with parts of objects	HP:4000069
Persistent preoccupation with parts of objects	HP:4000069
Fixated interest in unusual objects	HP:4000069
Fixated interest with parts of objects	HP:4000069
Restricted interests	HP:4000070
Circumscribed interests	HP:4000070
Fixated interests	HP:4000070
Abnormal language feature	HP:4000072
Pronoun reversal	HP:4000073
Involuntary vocalization	HP:4000074
Reduced frequency of facial expressions	HP:4000075
Hand-taking gestures	HP:4000076
Use of another person's body to communicate	HP:4000076
Hand-leading gesture	HP:4000076
Fixated interest with abnormal focus	HP:4000077
Unusual preoccupations	HP:4000077
Fixated interest with abnormal intensity	HP:4000078
Sensory seeking	HP:4000079
Reduced production of gestures	HP:4000081
Reduced collaborative play	HP:4000082
Reduced cooperative play	HP:4000082
Reduced interest in other children	HP:4000083
Reduced desire to interact with peers	HP:4000083
Lack of interest in peers	HP:4000083
Ignores peers	HP:4000083
Reduced sharing of interests	HP:4000084
Reduced object sharing	HP:4000085
Abnormal communicative facial expressions	HP:4000087
Abnormal facial expression use	HP:4000087
Facial expressions that do not match the context	HP:4000088
Atypical facial expressions	HP:4000089
Abnormal quality of facial expression	HP:4000089
Abnormal gestures	HP:4000090
Abnormal gesture use	HP:4000090
Abnormal communicative gestures	HP:4000090
Abnormal communicative gesture use	HP:4000090
Poor conversational reciprocity	HP:4000092
Failure of normal back-and-forth conversation	HP:4000092
Nitrous oxide abuse	HP:4000128
Addictive nitrous oxide use	HP:4000128
Nitrous oxide addiction	HP:4000128
Absent cavum septum pellucidum	HP:4000138
Multinucleated neuron	HP:4000150
Pontine T2 hypointensity	HP:4000169
Selective mutism	HP:5200001
Reduced range of facial expressions	HP:5200002
Limited repertoire of facial expression	HP:5200002
Excessive interest in others	HP:5200003
Abnormal pitch	HP:5200005
Disjointed sentences	HP:5200006
Loose association	HP:5200006
Neologism	HP:5200007
Overly formal/pedantic language	HP:5200008
Midline hand movements	HP:5200009
Abnormal Intonation	HP:5200010
Abnormal speech rate	HP:5200011
Abnormal speech rhythm	HP:5200012
Ambiguous facial expression	HP:5200013
Exaggerated facial expression	HP:5200014
Muted facial expression	HP:5200015
Flat facial expression	HP:5200015
Abnormal peer relationships	HP:5200016
Stereotypic movements of face and head	HP:5200017
Stereotypic upper-extremity movements	HP:5200018
Stereotypic whole-body movements	HP:5200019
Abnormal interest in others	HP:5200020
Abnormal social understanding	HP:5200021
Reduced social insight	HP:5200021
Abnormal social awareness	HP:5200021
Reduced awareness of convention	HP:5200022
Abnormal relationship	HP:5200024
Impaired social imitation	HP:5200026
Decreased imitation of others	HP:5200026
Reduced immediate imitation of others	HP:5200026
Reduced attempt to get or direct the attention of another person	HP:5200027
Reduced social initiation	HP:5200027
Infrequent attempts to direct the attention of another person	HP:5200027
Infrequent social initiations	HP:5200027
Reduced response to social cues	HP:5200028
Reduced responsiveness to social cues	HP:5200028
Reduced responsiveness to verbal cues	HP:5200028
Lack of response to verbal cues	HP:5200028
Social disinhibition	HP:5200029
Diminished integration of verbal and non-verbal communicative behavior	HP:5200030
Reduced cooperative imaginative play	HP:5200035
Reduced collaborative imaginative play	HP:5200035
Lack of expressed empathy	HP:5200037
Reduced empathic arousal	HP:5200037
Lack of empathy	HP:5200037
Reduced sympathetic expression	HP:5200037
Lack of expressed sympathy	HP:5200037
Bradylalia	HP:5200038
Slow speech	HP:5200038
Bradylogia	HP:5200038
Speech too loud for context	HP:5200039
Excessively loud speech	HP:5200039
Excessively soft voice	HP:5200040
Excessively quiet voice	HP:5200040
Excessively quiet speech	HP:5200040
Speech to soft for context	HP:5200040
Abnormal speech volume	HP:5200043
Reduced attention regulation	HP:5200044
Reduced impulse control	HP:5200045
Impaired self-restraint	HP:5200045
Sensory behavioral abnormality	HP:5200046
Idiosyncratic gesture	HP:5200047
Atypical sorting	HP:5200049
Arranging	HP:5200049
Ordering	HP:5200049
Checking behaviours	HP:5200050
Checking behaviors	HP:5200050
Excessive checking	HP:5200050
Excessive hand washing	HP:5200051
Resistance to trivial environmental changes	HP:5200052
Reduced co-speech gestures	HP:5200055
Limited head nodding or shaking	HP:5200056
Limited pointing	HP:5200057
Sensory hypersensitivity	HP:5200058
Sensory hyposensitivity unexplained by sensory deficit	HP:5200059
Auditory hypersensitivity	HP:5200060
Sensitivity to noise	HP:5200060
Loudness intolerance	HP:5200060
Tactile hypersensitivity	HP:5200061
Auditory sensory seeking	HP:5200062
Gustatory sensory seeking	HP:5200063
Smell seeking	HP:5200064
Olfactory sensory seeking	HP:5200064
Tactile sensory seeking	HP:5200065
Vestibular sensory seeking	HP:5200066
Visual sensory seeking	HP:5200067
Socially inappropriate questioning	HP:5200068
Twirling	HP:5200069
Spinning	HP:5200069
Delayed Echolalia	HP:5200071
Immediate Echolalia	HP:5200072
Excessive cleaning	HP:5200073
Facial expressions not directed to others	HP:5200100
Limited Repertoire of gestures	HP:5200101
Reduced social smiling	HP:5200102
Abnormal play	HP:5200104
Reduced imaginative play skills	HP:5200105
Nonfunctional or atypical use of objects in play	HP:5200108
Infrequent social engagement with peers	HP:5200110
Marked preference for solitude	HP:5200110
Aloneness	HP:5200110
Infrequent attempting to engage peers	HP:5200110
Prefers being alone	HP:5200110
Poor social engagement	HP:5200110
Avoidance of emotional intimacy	HP:5200111
Failure to offer information to initiate social interaction	HP:5200113
Difficulty understanding nonliteral meaning of conversation	HP:5200116
Poor recognition of injustice	HP:5200117
Difficulty recognizing another's emotions	HP:5200118
Difficulty understanding humor	HP:5200119
Abnormality in emotional social interactions	HP:5200120
Abnormal social emotional interactions	HP:5200120
Treats people like objects	HP:5200121
Objectification of others	HP:5200121
Abnormal response to social norms	HP:5200123
Indifference to social norms	HP:5200124
Aggression towards others	HP:5200125
Aggression towards caregivers	HP:5200126
Aggression toward non-caregivers	HP:5200127
Abnormal rituals	HP:5200129
Insistence on sameness	HP:5200130
Atypical sensory examination of objects	HP:5200132
Intense attachment to unusual objects	HP:5200133
Bouncing	HP:5200134
Hopping	HP:5200134
Pogo-ing	HP:5200134
Jumping	HP:5200134
Delay in the acquisition of cooperative play skills	HP:5200135
Reduced social reciprocity with peers	HP:5200136
Hallucinations of smell	HP:5200200
Olfactory hallucination	HP:5200200
Smell hallucination	HP:5200200
Taste hallucination	HP:5200201
Gustatory hallucination	HP:5200201
Hallucinations of taste	HP:5200201
Abnormal interpretation of external stimuli	HP:5200202
Proprioceptive hallucination	HP:5200203
Disturbed perception with a stimulus	HP:5200204
Illusions	HP:5200205
Inattentiveness illusion	HP:5200207
Illusions due to affect	HP:5200208
Pareidolia	HP:5200209
Autoscopy	HP:5200210
Subjective eidetic images	HP:5200211
Photographic memory	HP:5200211
Amplified socialising	HP:5200212
Amplification of social interactions	HP:5200212
Increase in social interactions	HP:5200212
Amplified socializing	HP:5200212
Diminishment of empathy	HP:5200213
Diminishment of emotional responsiveness	HP:5200213
Somatic bodily hallucination	HP:5200214
Hallucination of bodily sensation	HP:5200214
Somatic hallucination	HP:5200214
Visceral hallucination	HP:5200215
Abnormal perceptual state	HP:5200216
Depersonalization	HP:5200217
Derealization	HP:5200218
Lack of facial mirroring	HP:5200220
Decreased facial expression reciprocity	HP:5200220
Decreased facial expression mirroring	HP:5200220
Discomfort with physical contact	HP:5200221
Discomfort with physical touch	HP:5200221
Touch avoidance	HP:5200221
Diminishment of comfort with casual physical contact	HP:5200221
Thought blocking	HP:5200227
Thought-blocking	HP:5200227
Thought withdrawal	HP:5200227
Abnormal fear	HP:5200230
Maladaptive fear-related cognitions	HP:5200230
Abnormal fear-related cognitions	HP:5200230
Hypervigilance	HP:5200231
Phobia	HP:5200232
Anticipatory anxiety	HP:5200233
Rhyming puns	HP:5200234
Clang associations	HP:5200234
Distracted speech	HP:5200234
Flight of ideas	HP:5200234
Pronunciation difficulties	HP:5200237
Vowel expressive impediment	HP:5200238
Consonant expressive impediment	HP:5200239
Delayed verbal comprehension	HP:5200240
Delayed spoken language comprehension	HP:5200240
Recurrent maladaptive behavior	HP:5200241
Cognitive distortion	HP:5200242
Abnormal change in social behavior	HP:5200243
Abnormal demeanor	HP:5200261
Abnormally increased motivation	HP:5200263
Abnormally increased energy	HP:5200263
Abnormally increased personal volitional state	HP:5200263
Abnormally increased volition	HP:5200263
Pressured speech	HP:5200265
Excessive speech output	HP:5200265
Leaden paralysis	HP:5200267
Grandiosity	HP:5200270
Hopeless	HP:5200271
Hopelessness	HP:5200271
Exaggerated pessimism	HP:5200271
Sad	HP:5200273
Abnormal sadness	HP:5200273
Decreased need for sleep	HP:5200276
Sleep-related breathing disorders	HP:5200283
Difficult respiration during sleep	HP:5200283
Bruxism during sleep	HP:5200284
Grinding teeth during sleep	HP:5200284
Nightmare disorder	HP:5200287
Disturbing dreams	HP:5200287
Sleep-related eating disorder	HP:5200288
SRED	HP:5200288
Nocturnal sleep-related eating disorder (NS-RED)	HP:5200288
Consuming food while asleep	HP:5200288
Sleep eating	HP:5200288
Microsleep	HP:5200289
Short duration sleep	HP:5200289
Exploding head syndrome	HP:5200290
Rapid eye movement sleep behaviour disorder	HP:5200291
Sleep enactment	HP:5200291
Rapid eye movement sleep behavior disorder	HP:5200291
REM sleep behavior disorder	HP:5200291
RBD	HP:5200291
REM sleep behaviour disorder	HP:5200291
Non-restorative sleep	HP:5200292
Non-refreshing sleep	HP:5200292
Sleep-wake transition disorders	HP:5200293
Sleep state switching	HP:5200293
Disturbance during transitions between sleep and wake states	HP:5200293
Sexual behavior during sleep	HP:5200294
Sexual behaviour during sleep	HP:5200294
Sexsomnia	HP:5200294
Periodic limb movements	HP:5200295
Rhythmic limb movements during sleep	HP:5200295
Abnormal hypnagogia	HP:5200296
Abnormality falling asleep	HP:5200296
Abnormal waking	HP:5200297
Abnormal hypnopompia	HP:5200297
Sleep architecture disturbances	HP:5200298
Sleep stage disturbances	HP:5200298
Abnormal sleep architecture	HP:5200298
Disturbance in REM	HP:5200299
REM parasomnia	HP:5200299
Rapid eye movement parasomnia	HP:5200299
Nocturnal myoclonus syndrome	HP:5200300
Periodic limb movement disorder	HP:5200300
Abnormal movement during sleep	HP:5200300
Short light sleep of NREM	HP:5200304
Short N1 sleep	HP:5200304
Sleep state misperception	HP:5200305
Sleep misperception	HP:5200305
Paradoxical insomnia	HP:5200305
Disturbance in perception related to sleep	HP:5200305
Short subdued state of NREM	HP:5200307
Short N2 sleep	HP:5200307
Short N3 sleep	HP:5200309
Short slow wave sleep	HP:5200309
Diminishment of social interactions	HP:5200310
Reduced, declined or lessened social interactions	HP:5200310
Heightened, amplified social expression and social connectedness	HP:5200311
Amplification of interpersonal communication	HP:5200311
Increase in interpersonal communication	HP:5200311
Extraversion	HP:5200315
Increased seeking of relationships	HP:5200315
Amplification of relationship seeking	HP:5200315
A decline or reduced social expression and social connectedness	HP:5200316
Diminishment of interpersonal communication	HP:5200316
Decreased interpersonal communication	HP:5200316
Decreased seeking of relationships	HP:5200320
Self-isolation	HP:5200320
Introversion	HP:5200320
Diminishment of relationship seeking	HP:5200320
Social isolation	HP:5200320
Hypersexuality	HP:5200321
Increased sexual behavior	HP:5200321
Increased sexual behaviour	HP:5200321
Amplification of sexual behavior	HP:5200321
Increase in sexual behavior	HP:5200321
Increase in emotional expression	HP:5200322
Increased emotional display	HP:5200322
Amplification of emotional expression	HP:5200322
Increase in emotional responsiveness	HP:5200323
Amplification of emotional responsiveness	HP:5200323
Increase in comfort with casual physical contact	HP:5200325
Amplification of comfort with casual physical contact	HP:5200325
Decreased sexual behaviour	HP:5200327
Hyposexuality	HP:5200327
Decreased sexual behavior	HP:5200327
Diminishment of sexual behavior	HP:5200327
Diminishment of emotional expression	HP:5200328
Decreased emotional display	HP:5200328
Excessive alcohol consumption	HP:5200329
Problematic alcohol consumption	HP:5200329
Suicidal actions	HP:5200330
Suicide behaviors	HP:5200330
Sucidality	HP:5200330
Addictive sedative use	HP:5200331
Sedative addiction	HP:5200331
Addictive non-substance behaviors	HP:5200332
Addiction to a behaviour	HP:5200332
Addictive activity	HP:5200332
Addiction to an activity	HP:5200332
Addiction to a behavior	HP:5200332
Addictive spending behavior	HP:5200333
Spending addiction	HP:5200333
Shopaholic	HP:5200333
Shopping addiction	HP:5200333
Addictive gambling behavior	HP:5200334
Gambling addiction	HP:5200334
Sex addiction	HP:5200335
Addictive sex behavior	HP:5200335
Video game addiction	HP:5200336
Addictive video game use	HP:5200336
Excessive video game playing	HP:5200336
Compulsive stealing	HP:5200337
Kleptomania	HP:5200337
Excessive fire setting	HP:5200338
Pyromania	HP:5200338
Self cutting	HP:5200339
Deliberate cutting of skin	HP:5200339
Self-cutting	HP:5200339
Cutting	HP:5200339
Cannabis addiction	HP:5200341
Addictive marijuana use	HP:5200341
Marijuana addiction	HP:5200341
Addictive cannabis use	HP:5200341
Autophagia	HP:5200342
Self-consumption	HP:5200342
Hypnagogic sleep paralysis	HP:5200352
Inability to move while falling asleep	HP:5200352
Predormital sleep paralysis	HP:5200352
Postdormital sleep paralysis	HP:5200353
Postdormital paralysis	HP:5200353
Inability to move while awakening	HP:5200353
Hypnopompic sleep paralysis	HP:5200353
Sleep onset rapid eye movement period	HP:5200356
Sleep-onset rapid eye movement (REM) period	HP:5200356
Sleep-onset (REM) period	HP:5200356
SOREMP	HP:5200356
Prolonged N1 sleep	HP:5200357
Prolonged N2 sleep	HP:5200358
Prolonged N3 sleep	HP:5200359
Short rapid eye movement sleep	HP:5200360
Short REM sleep	HP:5200360
Prolonged REM sleep	HP:5200361
Prolonged rapid eye movement sleep	HP:5200361
Short NREM sleep	HP:5200362
Prolonged NREM sleep	HP:5200363
Abnormal beliefs	HP:5200401
Abnormal judgment	HP:5200401
Overvalued idea	HP:5200402
Overvalued ideas	HP:5200402
Time agnosia	HP:5200403
Olfactory agnosia	HP:5200405
Tactile agnosia	HP:5200406
Topographical agnosia	HP:5200407
Retrospective delusion	HP:5200409
Delusional memory	HP:5200409
Auditory agnosia	HP:5200410
Gustatory agnosia	HP:5200411
Allesthesia	HP:5200412
Autotopagnosia	HP:5200413
Delusion of persecution	HP:5200415
Persecutory delusion	HP:5200415
Pathological jealousy	HP:5200416
Delusion of infidelity	HP:5200416
Morbid jealousy	HP:5200416
Megalomania	HP:5200417
Grandiose delusion	HP:5200417
Folie à deux	HP:5200418
Shared psychosis	HP:5200418
Disorder of thought control	HP:5200419
Delusion of control	HP:5200419
Psychose passionelle	HP:5200420
Erotomania	HP:5200420
Delusion of love	HP:5200420
De Clérambault syndrome	HP:5200420
Nihilistic delusion	HP:5200421
Cotard delusion	HP:5200422
Cotard syndrome	HP:5200422
Abnormal experience of reality	HP:5200423
Delusional perception	HP:5200424
Munchhausen syndrome	HP:5200425
Hypochondriac delusion	HP:5200425
Ekbom's syndrome	HP:5200426
Delusions of infestation	HP:5200426
Delusional mood	HP:5200427
Delusional atmosphere	HP:5200427
Delusional misidentification	HP:5200428
Religious delusion	HP:5200429
Abnormal psychotic pattern	HP:5200430
Left-right confusion	HP:6000000
Right-left confusion	HP:6000000
Right-left disorientation	HP:6000000
Left-right disorientation	HP:6000000
Excessive guilt	HP:6000011
Binge drinking	HP:6000020
Synesthesia	HP:6000024
Hazardous alcohol use	HP:6000028
Social anxiety	HP:6000029
Placidity	HP:6000030
Peripheral nerve metachromasia	HP:6000079
Metachromatic intraneuronal lipid deposits	HP:6000079
Cerebral contusion	HP:6000141
Elevated methylhex-dienedioic level by MRS	HP:6000147
Reduced F-wave amplitude	HP:6000150
Neuronal intranuclear inclusion bodies	HP:6000155
LFT	HP:6000184
Lipoma of the filum terminale	HP:6000184
Filum terminale lipoma	HP:6000184
Lipoma of filum terminale	HP:6000184
Fatty filum terminale	HP:6000184
Cerebrospinal fluid erythrocytes	HP:6000202
Elevated CSF cholestanol	HP:6000203
Elevated CSF cholestanol concentration	HP:6000203
Elevated CSF apolipoprotein B concentration	HP:6000204
Apolipoprotein B high in CSF	HP:6000204
Elevated CSF myelin basic protein concentration	HP:6000205
Myelin basic protein high in CSF	HP:6000205
Reduced CSF pyridoxal-5'-phosphate concentration	HP:6000206
Pyridoxal-5'-phosphate low in CSF	HP:6000206
Elevated CSF thymine concentration	HP:6000207
Thymine high in CSF	HP:6000207
Elevated CSF 5-hydroxymethyluracil concentration	HP:6000208
5-hydroxymethyluracil high in CSF	HP:6000208
Elevated CSF N-carbamyl-beta-aminoisobutyric acid concentration	HP:6000209
N-carbamyl-beta-aminoisobutyric acid high in CSF	HP:6000209
Elevated CSF N-carbamyl-beta-alanine concentration	HP:6000210
N-carbamyl-beta-alanine high in CSF	HP:6000210
Dihydrouracil high in CSF	HP:6000211
Elevated CSF dihydrouracil concentration	HP:6000211
Elevated CSF dihydrothymine concentration	HP:6000212
Dihydrothymine high in CSF	HP:6000212
Elevated CSF AICA-riboside concentration	HP:6000238
Elevated CSF 5-amino-4-imidazolecarboxyamide concentration	HP:6000238
Elevated CSF D-2-hydroxyglutaric acid concentration	HP:6000246
Spinal cord granuloma	HP:6000257
Elevated CSF saccharopine concentration	HP:6000270
Saccharopine present in CSF	HP:6000270
Elevated CSF beta-alanine concentration	HP:6000277
Elevated CSF cystathionine concentration	HP:6000280
Tectal enlargement	HP:6000284
Quadrigeminal plate enlargement	HP:6000284
Tectal plate enlargement	HP:6000284
Focal T1 hyperintense brainstem lesion	HP:6000286
Third cranial nerve thickening	HP:6000291
Oculomotor nerve thickening	HP:6000291
Persistent falcine venous sinus	HP:6000295
Autonomic-voluntary dissociation of facial movements	HP:6000306
Spastic monoplegia	HP:6000316
Absent axon flare response after intradermal histamine injection	HP:6000322
Reduced sympathoneural responses to the cold pressor test	HP:6000323
Tachyphagia	HP:6000352
D-glyceric acid high in CSF	HP:6000372
Elevated CSF D-glyceric acid concentration	HP:6000372
Elevated CSF ammonia concentration	HP:6000394
Elevated CSF guanidinoacetic acid concentration	HP:6000396
CSF oligoclonal immunoglobulin G bands	HP:6000397
Decreased CSF 3-methoxy-4-hydroxyphenylglycolaldehyde concentration	HP:6000398
Elevated CSF alpha-crystallin B chain concentration	HP:6000399
Alphabeta-crystallin high in CSF	HP:6000399
Reduced CSF creatine concentration	HP:6000400
Reduced CSF asparagine concentration	HP:6000408
Compression of seventh cranial nerve	HP:6000411
Facial nerve compression	HP:6000411
Intradural spinal lipoma	HP:6000415
T2 hyperintense cerebellar lesion	HP:6000416
T2 hyperintensities in cerebellum	HP:6000416
Decreased CSF asialotransferrin to transferrin ratio	HP:6000447
Sleep drunkeness	HP:6000456
Cerebral subcortical cyst	HP:6000461
Elevated CSF alpha-ketoglutarate concentration	HP:6000468
Elevated brain guanidinoacetate level by MRS	HP:6000484
Impaired heel-walking ability	HP:6000490
Elevated CSF L-2-hydroxyglutaric acid concentration	HP:6000509
Brain parenchymal tuberculoma	HP:6000585
Spinal lipoma	HP:6000590
Sixth cranial nerve hypoplasia	HP:6000596
Third cranial nerve hypoplasia	HP:6000597
Sweating and flushing in the preauricular area in response to mastication	HP:6000637
Frey syndrome	HP:6000637
Elevated urine 2-betanone level	HP:6000673
Abnormal CSF N-acetylaspartic acid concentration	HP:6000673
Decreased CSF N-acetylaspartate acid concentration	HP:6000674
Decreased CSF N-acetylaspartic acid concentration	HP:6000674
N-acetylaspartate absent in CSF	HP:6000674
Elevated CSF 14-3-3 protein concentration	HP:6000689
Elevated CSF dihydrobiopterin concentration	HP:6000690
Axonal spheroids	HP:6000717
Decreased CSF tetrahydrobiopterin level	HP:6000764
Decreased CSF N-acetyl-aspartyl-glutamate concentration	HP:6000765
Echophenomenon	HP:6000768
Protein craving	HP:6000785
Distortion of the anterior part of the interhemispheric fissure	HP:6000791
Elevated CSF tetrahydrobiopterin level	HP:6000822
Elevated CSF 5-hydroxyindoleacetic acid concentration	HP:6000823
Cerebrospinal fluid eosinophilia	HP:6000824
Eosinophilia in the CSF	HP:6000824
Vascular compression of the eighth cranial nerve	HP:6000845
Neurovascular compression syndrome of the vestibulocochlear nerve	HP:6000845
Vestibulocochlear nerve compression syndrome	HP:6000845
Superior olive hypertrophy	HP:6000848
SEDAC	HP:6000849
Spinal extradural arachnoid cyst	HP:6000849
Basilar meningeal enhancement	HP:6000851
White matter globoid cells	HP:6000892
Gastric carcinoid tumor	HP:6000898
Dysorthography	HP:6000915
Elevated CSF sepiapterin concentration	HP:6000975
Slit-like lateral ventricle	HP:6000989
Subcortical U fiber lesion	HP:6000995
Subcortical U fiber involvement	HP:6000995
Intraspinal extradural lipoma	HP:6000996
Punctate pontine perivascular enhancement	HP:6001037
Dyschronometria	HP:6001044
Delta brush pattern on EEG	HP:6001051
Pigeon-toed	HP:6001054
Intoeing	HP:6001054
Duck feet	HP:6001056
Toeing out	HP:6001056
Out-toeing	HP:6001056
External rotated feet	HP:6001056
Eosinophilic neuronal inclusion bodies	HP:6001062
Subdural hygroma	HP:6001070
Cerebral hemisphere mass lesion	HP:6001083
T2-hyperintense putaminal rim	HP:6001084
crossed brainstem sign	HP:6001101
Local anesthetic ineffectiveness	HP:6001108
EEG with slow-wave activity involving the temporal lobes	HP:6001115
EEG with slow activity in temporal lobes	HP:6001115
EEG with temporal slowing	HP:6001115
Increased peripheral nerve cross sectional area	HP:6001147
Peripheral nerve swelling	HP:6001147
Peripheral nerve enlargement	HP:6001147
Forward displacement of posterior cervical dura mater on neck flexion	HP:6001191
Elevated circulating ketone body concentration	None
Hyperketonemia	None
Increased level of ketone bodies in blood	None
Ketonemia	None
Abnormal fecal pH	None
Abnormal faecal pH	None
Abnormality of folate in blood	None
Abnormal serum folate	None
Abnormal blood folate concentration	None
Abnormal circulating dicarboxylic acid concentration	None
Elevated circulating tetradecanoylcarnitine concentration	None
Elevated circulating myristoylcarnitine concentration	None
Elevated circulating C14 carnitine concentration	None
Peau d'orange	None
Hyperlysinemia	None
Elevated blood lysine	None
Demonstration of Leishmania in tissue	None
Positive Mazzotti test	None
Increased urine harderoporphyrin level	None
Anti-chikungunya virus antibody positivity	None
Abnormal circulating coenzyme concentration	None
Elevated circulating 3-hydroxybutyryl-carnitine concentration	None
Increased mannose-binding protein level	None
Increased circulating mannose-binding protein concentration	None
Abnormality of the vitamin B3 metabolism	None
Elevated urinary indican level	None
Abnormal glucose tolerance	None
Glucose intolerance	None
IgA heavy chain paraproteinemia	None
Alpha heavy chain disease	None
Reduced branched-chain alpha-keto acid dehydrogenase activity in cultured fibroblasts	None
Reduced blood 5-methyltetrahydrofolate level	None
Reduced serum methylfolate Level	None
Increased sulfur-containing amino acid level in urine	None
Increased sulfur amino acid level in urine	None
Increased sulphur amino acid level in urine	None
Increased monosialylated core 1 O-glycan level	None
Increased sialyl T-antigen concentration	None
Anti-streptococcus deoxyribonuclease-B antibody positivity	None
Fungal bloodstream infection	None
Fungi in blood	None
Increased circulating Tg levels	None
Increased plasma Tg levels	None
Hypertriglyceridemia	None
Increased serum triglycerides	None
Increased plasma triglycerides	None
Increased triglycerides	None
Elevated apolipoprotein C-III level	None
Elevated APOC3 level	None
Elevated circulating apolipoprotein C-III concentration	None
Positive bloodstream tuberculosis-induced T-cell-based interferon-gamma release assay	None
Positive T-SPOT-tuberculosis test in the bloodstream	None
Elevated plasma pyrophosphate	None
Abnormality of glycolipid metabolism	None
Elevated circulating glutathione concentration	None
Glutathione high in blood	None
Elevated urinary 2,8-dihydroxyadenine level	None
Elevated blood mercury concentration	None
Reduced muscle phosphorylase kinase activity	None
Abnormal blood calcium concentration	None
Abnormal blood calcium levels	None
Abnormal circulating calcium concentration	None
Abnormal circulating Ca2+ concentration	None
Abnormal circulating Ca concentration	None
Increased urinary sulphate	None
Increased urinary sulfate	None
Reduced tissue delta-1-pyrroline-5-carboxylate dehydrogenase activity	None
Temperature instability	None
Body temperature instability	None
Decreased apo-AI level	None
Decreased apolipoprotein AI level	None
Decreased circulating apolipoprotein A-I concentration	None
Decreased apoA-I level	None
Carnitine deficiency	None
Decreased circulating carnitine concentration	None
Decreased plasma carnitine	None
Positive bloodstream HIV p24 antigen test	None
Increased G6PD level in tissue	None
Increased glucose-6-phosphate dehydrogenase level in tissue	None
Neonatal insulin-dependent diabetes mellitus	None
Elevated urinary mevalonate lactone level	None
Pulmonary amyloidosis	None
Elevated circulating pristanic acid concentration	None
Chronic (near) absent total IgG in blood	None
Chronic absent circulating total IgG	None
Reduced circulating prekallikrein concentration	None
Acid-labile subunit deficiency	None
Reduced insulin like growth factor binding protein acid labile subunit concentration	None
Decreased levels of acid labile subunit	None
