Lower lip pit	HP:0000196
Abnormalities of placenta or umbilical cord	None
Four-vessel umbilical cord	None
Absent fetal nasal bone	None
Unossified nasal bone	None
Absence of fetal nasal bone	None
Absence of foetal nasal bone	None
Abnormal fetal pulmonary morphology	None
Thickened nuchal skin	None
Increased nuchal fold thickness	None
Thick nuchal fold	None
Thickened skin over the neck	None
Thickened nuchal skin fold	None
Increased nuchal fold	None
Thickened skin folds of neck	None
Excess nuchal skin	None
Reversed end-diastolic umbilical artery flow	None
Meconium-stained amniotic fluid	None
Meconium stained amniotic fluid	None
Meconium staining of amniotic fluid	None
Low APGAR score	None
High levels of amniotic fluid	None
Increased amniotic fluid index	None
Polyhydramnios	None
Hydramnios	None
Postterm pregnancy	None
5-minute APGAR score of 5	None
Functional fetal anomaly	None
Abnormal fetal physiology	None
Functional foetal anomaly	None
Female fetal virilization	None
Female foetal virilization	None
Meconium pseudocyst	None
Hydropic placenta	None
Hydrops of the placenta	None
Abnormal four chamber view of the fetal heart	None
Abnormal four chamber view	None
Maternal vascular malperfusion	None
High cord blood carbon dioxide level	None
Hypercapnia in cord blood	None
Increased nuchal translucency	None
Echogenic intracardiac focus	None
10-minute APGAR score of 1	None
Bilateral fetal pyelectasis	None
Bilateral foetal pyelectasia	None
Bilateral foetal pyelectasis	None
Bilateral fetal pyelectasia	None
1-minute APGAR score of 5	None
Ductus venosus agenesis with intrahepatic drainage	None
Increased fetal long bone echogenicity	None
Neonatal omphalitis	None
Umbilical cord stump infection	None
Omphalitis	None
Placental hamartoma	None
Chorangioma	None
Edematous chorionic villi	None
1-minute APGAR score of 1	None
Intrauterine foetal demise of one twin after midgestation	None
Intrauterine fetal demise of one twin after midgestation	None
Single-twin demise	None
Early severe foetal akinesia sequence	None
Foetal akinesia sequence	None
Early severe fetal akinesia sequence	None
Fetal akinesia	None
Fetal akinesia sequence	None
Foetal akinesia	None
1-minute APGAR score of 3	None
Umbilical cord haematoma	None
Umbilical cord hematoma	None
5-minute APGAR score of 0	None
Premature rupture of membranes	None
Fetal abdominal cyst	None
Foetal cystic abdominal mass	None
Fetal cystic abdominal mass	None
Foetal abdominal cyst	None
Zygotic cleavage failure	None
Failure of zygotic cell division	None
Ductus venosus agenesis	None
Agenesis of the ductus venosus	None
Hypoplastic fetal nasal bone	None
Prenatal flattened diaphragm	None
Placental thromboembolism	None
Placental infarction	None
Prenatal double bubble sign	None
Placental thickness increased	None
Increased placental thickness	None
Fetal nuchal edema	None
Subchorionic septal cyst	None
Absent end-diastolic umbilical artery flow	None
Hydatidiform mole	None
Amniotic shelf	None
Amniotic Sheet	None
Fetal lower urinary tract obstruction	None
Fetal posterior fossa hemorrhage	None
Fetal hydrothorax	None
Single umbilical artery	None
2 vessel cord	None
Two vessel cord	None
SUA	None
2 vessel umbilical cord	None
Only one artery in umbilical cord instead of two	None
Two vessel umbilical cord	None
Two-vessel cord	None
Amniotic constriction rings of legs	None
Abnormal foetal CNS morphology	None
Abnormal fetal CNS morphology	None
Abnormal fetal central nervous system morphology	None
Decreased serum complement C5	None
Decreased circulating complement C5 concentration	None
Histiocytosis, mucinous	None
Mucinous histiocytosis	None
Increased proportion of CD4+CD29+ cells	None
Increased proportion of memory T cells	None
Abnormal proportion of non-class-switched memory B cells	None
Abnormal proportion of unswitched memory B cells	None
Abnormal proportion of immature B cells	None
Abnormal proportion of CD19+/CD21low B cells	None
Elevated circulating complement component concentration	None
Increased anti-dust mite IgE antibody level	None
Increased level of anti-dust mite IgE antibody	None
Abnormal leukocyte physiology	None
Anti-phosphatidic acid antibody positivity	None
Lymphoid leukaemia	None
Lymphoid leukemia	None
Abnormal L-selectin shedding	None
Severe varicella zoster infection	None
Circulating immune complexes	None
Bronchial asthma	None
Asthma	None
Reactive airway disease	None
Recurring pancreas inflammation	None
Recurring pancreatitis	None
Recurrent pancreatitis	None
Anti-RNA-polymerase-III-autoantibody positivity	None
Histiocytosis	None
Fasciitis	None
Inflammation of the fascia	None
Serum antimitochrondrial antibodies	None
Antimitochondrial antibody positivity	None
Abnormal granulocyte count	None
Multiple accessory spleens	None
Polysplenia	None
Multiple small spleens	None
Accessory spleens	None
Muscle specific kinase antibody positivity	None
Anti-muscle-specific tyrosine kinase antibody	None
Anti-MUSK antibodies	None
Anti-Nor90 antibody positivity	None
Anti-nucleolus-organizing region antibody positivity	None
Increased circulating interleukin 22 concentration	None
Abnormal proportion of CD4-positive helper T cells	None
Increased level of anti-plant based food allergen IgE antibody	None
Increased anti-plant based food allergen IgE antibody level	None
Increased anti-parasite IgE antibody level	None
Rectal abscess	None
Perirectal abscess	None
Increased anti-venom IgE antibody level	None
Vaginitis	None
Vulvovaginitis	None
Respiratory infections in early life	None
Impaired neutrophil killing of staphylococci	None
Cartilage inflammation	None
Chondritis	None
Neutropoenia	None
Low blood neutrophil count	None
Neutropenia	None
Low neutrophil count	None
Peripheral neutropenia	None
Episodic eosinophilia	None
Anti-thyroglobulin antibody positivity	None
TgAbs	None
Anti-thyroid globulin antibody positivity	None
Granulomatosis	None
Anti-Ago2 antibody positivity	None
Anti-Su antibody positivity	None
Anti-Su antigen/argonaute 2 antibody positivity	None
Transient decreased circulating IgA	None
Acute pancreatic inflammation	None
Acute pancreatitis	None
Pancreatitis, acute	None
Absence of bactericidal oxidative respiratory burst in phagocytes	None
Splenic hemophagocytosis	None
Spleen hemophagocytosis	None
Anti-thyroid peroxidase antibody positivity	None
TPOAbs	None
Antimicrosomal antibody positivity	None
Antimicrosomal antibodies	None
Anti-TPO antibody positivity	None
Anti-desmoplakin I antibody positivity	None
Allergy to feathers	None
Feather allergy	None
Immunoglobulin E-mediated feather allergy	None
IgE-mediated feather allergy	None
Abnormal IgE level in blood	None
Abnormal circulating IgE level	None
Abnormal circulating IgE concentration	None
Otitis media	None
Middle ear infection	None
Abnormal delayed hypersensitivity skin test	None
Recurrent streptococcal infections	None
Helicobacter pylori infection	None
Severe pyorrhea	None
Severe gum disease	None
Severe periodontitis	None
Severe periodontal disease	None
Sepsis	None
Infection in blood stream	None
Transient decreased circulating IgG4	None
Transient decreased IgG4 in blood	None
Reduced CD95-induced lymphocyte apoptosis	None
Recurrent middle ear infection	None
Frequent otitis media	None
Recurrent otitis media	None
Recurrent episodes of otitis media	None
Otitis media, recurrent	None
Susceptibility to otitis media	None
Multiple episodes of otitis media	None
Lymphatic vessel tumour	None
Lymphatic vessel neoplasm	None
Lymphatic vessel tumor	None
Persistent CMV viremia	None
Monoclonal elevation of IgG kappa chain	None
Aspirin-induced asthma	None
Allergy	None
Eosinophilic infiltration of the esophagus	None
Eosinophilic esophagitis	None
Peritoneal abscess	None
Anti-Y-box protein-1 antibody positivity	None
Anti-YB 1 antibody positivity	None
Epstein-Barr virus meningitis	None
EBV meningitis	None
Fungal meningitis	None
Tubo-ovarian abscess	None
Abnormal T cell subset distribution	None
Increased circulating interleukin 15 concentration	None
IL-15 high in blood	None
Meningitis	None
Oligoclonal elevation of circulating IgG	None
Post-vaccination yellow fever	None
Postvaccination yellow fever	None
Chondritis of pinna	None
Inflammation of cartilage of pinna	None
Decreased FOXP3-expressing T cell count	None
Antinuclear antibodies	None
Antinuclear antibody positive	None
Serum antinuclear antibody	None
Elevated antinuclear antibody	None
Antinuclear antibody positivity	None
Anti-recoverin antibody positivity	None
Anti-retinal CAR antigen antibody	None
Anti-topoisomerase I antibody positivity	None
Top1 antibody positivity	None
Topoisomerase (DNA) I antibody positivity	None
Anti-Scl-70 antibody positivity	None
Anti-SUMO-activating enzyme subunit 2 antibody positivity	None
Anti-SAE 2 antibody positivity	None
Chronic (near) absent IgG4 in blood	None
Chronic (near) absent circulating IgG4	None
Anti-PM-Scl100 antibody positivity	None
Unusual infection	None
Abnormal proportion of memory B cells	None
Pre-B-cell acute lymphoblastic leukemia	None
Pre-B-cell acute lymphoblastic leukaemia	None
B Acute Lymphoblastic Leukaemia	None
B Acute Lymphoblastic Leukemia	None
Unusual infection by anatomical site	None
Fibrous cholangitis	None
Sclerosing cholangitis	None
Thymic hormone decreased	None
Decreased thymic hormone	None
Increased circulating IgG1 level	None
Increased circulating IgG subclass	None
Anti-Ma antibody positivity	None
Thymic cyst	None
Opportunistic bacterial infection	None
Monoclonal elevation of IgG light chain	None
Abnormal IgG level in blood	None
Abnormal circulating IgG concentration	None
Abnormal circulating IgG level	None
Anti-GM1 IgM antibody positivity	None
Anti CARPVIII antibody	None
Anti-CARP VIII antibody	None
Anti-carbonic anhydrase-related protein VIII antibody	None
Anti-U11/U12 RNP antibody positivity	None
Decreased IgG subclass level in blood	None
Decreased circulating IgG subclass level	None
Decreased circulating IgG subclass concentration	None
Ectopic spleen	None
Abnormal spleen location	None
Ectopia of the spleen	None
Humoral immunodeficiency	None
Pyknotic bone marrow neutrophils	None
Increased anti-galactose-alpha-1, 3 galactose IgE antibody level	None
Increased anti-alpha-gal IgE antibody level	None
Reduced MHC I cell surface expression	None
Reduced cell surface expression of class I HLA antigens	None
Immunoglobulin E-mediated venom allergy	None
IgE-mediated venom allergy	None
Venom allergy	None
Allergy to venom	None
Severe adenovirus infection	None
Anti-Mi2 antibody positivity	None
Increased neutrophil mitochondria	None
Abnormal proportion of immature gamma-delta T-lymphocytes	None
Abnormal proportion of immature gamma-delta T-cells	None
Abnormal proportion of immature gamma-delta T lymphocytes	None
Abnormal proportion of immature gamma-delta T cells	None
Recurrent upper respiratory tract infections	None
Recurrent colds	None
Upper respiratory tract infections, recurrent	None
Upper respiratory tract infections	None
Recurrent upper respiratory infections	None
Frequent upper respiratory tract infections	None
Recurrent upper respiratory and lower respiratory infections	None
Recurrent upper respiratory infection	None
Recurrent URI	None
Frequent upper respiratory infections	None
Anti-BP180 antibody positivity	None
Hypergammaglobulinaemia	None
Hyperglobulinemia	None
Increased serum gamma globulin	None
Elevated immunoglobulin levels	None
Hypergammaglobulinemia	None
Increased antibody level in blood	None
Increased gamma globulin	None
Raised immunoglobulin levels	None
Increased circulating antibody concentration	None
Increased immunoglobulin level	None
Increased circulating antibody level	None
Abnormal proportion of gamma-delta T-lymphocytes	None
Abnormal proportion of gamma-delta T cells	None
Abnormal proportion of gamma-delta T lymphocytes	None
Abnormal proportion of gammadelta T cells	None
Anti-P/Q-type voltage-gated calcium-channel antibody	None
Anti-P/Q-type VGCC antibody positivity	None
Unusual helminthic infection	None
Anti-HLA-DQ antibody positivity	None
Drug induced anaphylaxis	None
Drug-induced anaphylaxis	None
Tonsillar hypertrophy	None
Enlargement of tonsils	None
Enlarged tonsils	None
tonsils large/hypertrophy	None
Eosinophilic micro-abscess formation in the esophagus	None
Eosinophilic microabscess formation in the esophagus	None
Eosinophilic micro-abscess formation in the oesophagus	None
Salmonella osteomyelitis	None
Salmonella bone infection	None
Immediate-type hypersensitivity drug reaction	None
Susceptibility to chickenpox	None
Thymic carcinoid tumor	None
Decreased proportion of CD4-positive, alpha-beta memory T cells	None
Abnormal immune system morphology	None
Hepatic mastocytosis	None
Aplastic nasopharyngeal adenoids	None
Partial absence of specific antibody response to meningococcus vaccine	None
IgE-mediated plant product allergy	None
Allergy to plant products	None
Immunoglobulin E-mediated plant product allergy	None
Plant product allergy	None
Elevated proportion of CD4-positive T cells	None
Increased proportion of CD4-positive, alpha-beta T cells	None
Increased proportion of CD4+ T cells	None
Increased proportion of CD4-positive T cells	None
Anti-Hu antibody positivity	None
Anti-ANNA-1 antibody	None
Anti-Neuronal Nuclear Antibody type-1 antibody	None
Absence of mature B cells	None
Absent circulating B cells	None
Increased number of CD4-/CD8- T cells expressing alpha/beta T-cell receptors	None
Elevated proportion of CD4-negative, CD8-negative, alpha-beta regulatory T cells	None
Leukemia	None
Leukaemia	None
Blood cancer	None
Colonic eosinophilia	None
Eosinophilic infiltration in the colon	None
Eosinophilic colitis	None
IL-18 high in blood	None
Increased circulating interleukin 18 concentration	None
Groin abscess	None
Inguinal abscess	None
Increased anti-dairy protein IgE antibody level	None
Increased anti-dairy IgE antibody level	None
Decreased proportion of naive B cells	None
Increase in T cell count	None
Increased T cell count	None
Increase in T cell number	None
Dysgammaglobulinemia	None
Subacute progressive viral hepatitis	None
Susceptibility to herpesvirus	None
Recurrent herpes	None
Prelamin A antibody positivity	None
PCNA antibody positivity	None
ki-67 antibody positivity	None
LMNA antibody positivity	None
Anti-lamin A antibody positivity	None
Recurrent protozoan infections	None
Complement component 4B deficiency	None
Decreased circulating complement C4b concentration	None
C4b deficiency	None
Unusual course of infection	None
Severe infection	None
Anti-neurochondrin antibody positivity	None
Generalized swelling of lymph nodes	None
Generalised swelling of lymph nodes	None
Generalised lymphadenopathy	None
Generalized lymphadenopathy	None
Swollen lymph nodes affecting all regions of the body	None
Intestinal inflammation	None
Hypersplenism	None
Anti-CA6 antibody positivity	None
Anti-carbonic anhydrase VI antibody positivity	None
Anti-La/SS-B antibody positivity	None
Lack of delayed skin hypersensitivity reaction	None
Cutaneous anergy	None
Absence of delayed hypersensitivity skin test	None
Cerebrospinal fluid autoimmune antibody positivity	None
CSF autoimmune antibody positivity	None
Increased circulating IgD level	None
Elevated serum IgD	None
Elevated IgD	None
Increased levels of IgD	None
Increased IgD level	None
Increased serum IgD	None
Increased circulating IgD concentration	None
IgD hypergammaglobulinemia	None
Abnormal eosinophil count	None
Abnormal natural killer subset distribution	None
Reduced proportion of naive thymus-derived CD8-positive, alpha-beta T cells	None
Reduced proportion of naive CD8 T cells	None
Decreased proportion of naive CD8 T cells	None
Abnormal pulmonary lymphatics	None
Abnormal circulating interleukin 12 concentration	None
IgA heavy chain paraproteinemia	None
Alpha heavy chain disease	None
Abnormal circulating interleukin 6 concentration	None
Chronic lymphocytic meningitis	None
Abnormal circulating interleukin 10 concentration	None
Infection-associated lymphopenia	None
Infection-associated lymphocytopenia	None
Presence of anti-N-methyl-D-aspartate Receptor antibody in blood	None
Presence of anti-NMDAR antibody in blood	None
Anti-NMDA receptor antibody positivity	None
Anti-mGluR1 antibody	None
Anti-metabotropic glutamate receptor 1 antibody	None
Unusual protozoan infection	None
Increased proportion of marginal zone B cells	None
Abnormal plasma cell count	None
Negative NBT reduction test	None
Negative nitroblue tetrazolium reduction test	None
Impaired oxidative burst	None
Dysfunctional alternative complement pathway	None
Recurrent interdigital mycosis	None
Recurrent interdigital tinea	None
Swollen lymph nodes in the neck	None
Cervical lymphadenopathy	None
Abnormal macrophage morphology	None
Abnormality of histiocytes	None
Abnormality of macrophages	None
Lung abscess	None
Severe toxoplasmosis	None
Post-vaccination rubella	None
Complete or near-complete absence of specific antibody response to Haemophilus influenzae type b (Hib) vaccine	None
Secretory IgA deficiency	None
Frequent candida infections	None
Recurrent candida infections	None
Elevated circulating CCL3 concentration	None
Decreased proportion of memory T cells	None
Decreased proportion of CD4+CD29+ cells	None
Lymph node xanthomatosis	None
Lymph node xanthomas	None
Anti-dsDNA antibody positivity	None
Anti-double-stranded DNA antibody positivity	None
Absence of CD8-positive T cells	None
Absence of CD8+ T cells	None
Agranulocytosis	None
Cutaneous granuloma	None
Decreased circulating IgE	None
Decreased IgE	None
IgE deficiency	None
Decreased circulating IgE concentration	None
Inflammation of the peritoneum	None
Peritonitis	None
OME	None
Fluid behind eardrum	None
Middle ear effusions	None
Otitis media with effusion	None
Unusual virus reactivation	None
Acute infectious pneumonia	None
Hypermature neutrophils	None
Hypersegmentation of neutrophil nuclei in peripheral blood	None
Hypersegmentation of neutrophil nuclei	None
Fragmentation of the epiphysis of the distal phalanx of the 2nd toe	None
Fragmentation of the end part of the outermost bone of the 2nd toe	None
Abnormal ilium morphology	None
Iliac abnormalities	None
Abnormality of the ilium	None
Dislocation of patella	None
Dislocated kneecap	None
Patellar dislocation	None
Dislocated patellae	None
Low femur bone density	None
Low femoral bone density	None
Absent patellas	None
Patellar aplasia	None
Aplastic patellae	None
Absent kneecap	None
Absent patella	None
Absent patellae	None
Carpal bone fracture	None
Broken wrist	None
bone carpal bone	None
Fractured wrist	None
Wrist fracture	None
Fractured carpal bone	None
Triangular epiphysis of the 1st metacarpal	None
Triangular end part of the 1st long bone of hand	None
Jaw contracture	None
Increased ossification of mandible	None
Mandibular hyperostosis	None
Excessive growth of mandibular bone	None
Increased ossification of mandibular bone	None
Overgrowth of mandibular bone	None
Hyperostosis of lower jaw	None
Thick mandibular bone	None
Hyperostosis of mandibular bone	None
Increased ossification of lower jaw	None
Thick lower jaw bone	None
Forefoot supination contracture	None
Bucket handle fracture	None
Corner fracture of metaphysis	None
Metaphyseal corner fracture	None
Radial-head subluxation	None
Radial head subluxation	None
Radial subluxation	None
Cortical thickening of hand bones	None
Thoracoabdominal eventration	None
Celosomia	None
Kelosomia	None
Abnormality of the end part of the middle bone of the little toe	None
Abnormality of the epiphysis of the middle phalanx of the 5th toe	None
Abnormality of the end part of the middle bone of the pinky toe	None
Abnormality of the end part of the middle bone of the pinkie toe	None
Aplasia of the nasal bone	None
Failure of development of the nasal bone	None
Agenesis of the nasal bone	None
Lack of development of the nasal bone	None
Absence of the nasal bone	None
Missing nasal bone	None
Six lumbar vertebrae	None
Bone fusion involving the elbow	None
Synostosis involving the elbow	None
Anterior wedging of L2	None
Broad, square ends of distal phalanges	None
Broad distal phalanx of finger	None
Broad terminal phalanges	None
Spatulate terminal phalanges	None
Broad outermost finger bone	None
Broad distal phalanx	None
Broad distal phalanges of the hand	None
Broad distal phalanges	None
Stippled ossification of the humeral epiphyses	None
Epiphyseal stippling of the humerus	None
Rudimentary 2nd metacarpal	None
Shortened 2nd long bone of hand	None
Short 2nd metacarpal	None
Hypoplastic 2nd metacarpal	None
Cortical thinning of foot bones	None
Laterally deficient tibial plateaux	None
Abnormality of the intermaxillary bone	None
Abnormality of the premaxilla	None
Abnormality of the premaxillary bone	None
Abnormality of the intermaxillary segment of the maxilla	None
Abnormality of the primary palate bone	None
Brachymesophalangy IV (finger)	None
Short middle phalanx of ring finger	None
Hypoplastic/small middle phalanx of ring finger	None
Short middle phalanx of the 4th finger	None
Short middle bone of 4th finger	None
Hypoplastic/small middle phalanx of the 4th finger	None
Absent middle phalanges	None
Absent middle bones of hand	None
Missing middle phalanges	None
Aplasia of the middle phalanx of the hand	None
Aplasia of the middle phalanx of the 4th finger	None
Absent middle phalanx of 4th finger	None
Absent middle bone of 4th finger	None
Short pointed digital bones	None
Short pointed phalanges	None
Abnormality of intrinsic muscle of tongue	None
Abnormality of intrinsic lingual muscle	None
Short index fingers	None
Short 2nd finger	None
Hypoplastic index finger phalanges	None
Hypoplastic/small index finger	None
Short index finger phalanges	None
Short index finger	None
Dislocation of the femoral head	None
Dislocation of hip	None
Dislocated femoral heads	None
Dislocated hips	None
Hip dislocation	None
Thin lower jaw	None
Narrow mandible	None
Narrow jaw	None
Thin lower face	None
Narrow lower jaw	None
Narrow lower face	None
Spurred ulnar metaphysis	None
Enlarged epiphysis of the distal phalanx of the 5th toe	None
Enlarged end part of the outermost bone of the pinky toe	None
Enlarged end part of the outermost bone of the little toe	None
Enlarged end part of the outermost bone of the pinkie toe	None
Abnormality of the middle finger	None
Abnormal 3rd finger morphology	None
Abnormality of the 3rd finger	None
Reduced muscle fibre perlecan	None
Reduced muscle fiber perlecan	None
Hyperkyphosis	None
Round back	None
Gibbus deformity	None
Hunched back	None
Kyphosis	None
Absent/underdeveloped middle bone of pinkie toe	None
Absent/small middle 5th toe bone	None
Aplasia/Hypoplasia of the middle phalanx of the 5th toe	None
Absent/underdeveloped middle bone of little toe	None
Absent/underdeveloped middle bone of pinky toe	None
Erlenmeyer flask femora	None
Erlenmeyer flask deformity of the femurs	None
Erlenmeyer flask deformity of distal femur	None
Erlenmeyer flask shaped thighbone	None
Sclerosis of the middle phalanx of the 2nd finger	None
Increased bone density in the middle bone of the index finger	None
Fused bones in the pinkie toe	None
Fused bones in the little toe	None
Fused bones in the pinky toe	None
Symphalangism affecting the phalanges of the 5th toe	None
Synostosis of the proximal phalanx of the thumb with the 1st metacarpal	None
Ankylosis of the metacarpophalangeal joint of the thumb	None
Fusion of the innermost bone of the thumb with the 1st long bone of hand	None
Soft tissue swelling of hinge joints	None
Soft tissue swelling of interphalangeal joints	None
Absent end part of the 1st long bone of hand	None
Absent epiphysis of the 1st metacarpal	None
Contractures of the metatarsophalangeal joint of the hallux	None
Carpal osteolysis	None
Carpal bone osteolysis	None
Rounded middle phalanx of finger	None
Rounded middle bone of finger	None
Midline brain calcifications	None
Anterior beaking of lumbar vertebrae	None
Anterior tongue-like protrusion of lumbar vertebral bodies	None
Increased bone density in the innermost bone of the ring finger	None
Sclerosis of the proximal phalanx of the 4th finger	None
Fragmentation of the end part of the innermost bone of the pinky toe	None
Fragmentation of the end part of the innermost bone of the little toe	None
Fragmentation of the epiphysis of the proximal phalanx of the 5th toe	None
Fragmentation of the end part of the innermost bone of the pinkie toe	None
Reduced muscle fiber beta sarcoglycan	None
Reduced muscle fibre beta sarcoglycan	None
Enlarged vertebral pedicles	None
Hyperplastic vertebral pedicles	None
Abnormality of femur morphology	None
Abnormality of the femora	None
Abnormality of the thighbone	None
Abnormal femur morphology	None
Curved outermost bone of the 3rd finger	None
Curved distal phalanx of the 3rd finger	None
Wide metaphysis of innermost thighbone	None
Wide proximal femoral metaphysis	None
Tibial deviation of the 5th toe	None
Limitation of knee mobility	None
Limited knee movement	None
Curved 1st metacarpal	None
Curved 1st long bone of hand	None
Bracket epiphysis of the proximal phalanx of the 3rd finger	None
Bracket shaped end part of innermost long bone of the middle finger	None
Myotonia of the upper limb	None
Patchy sclerosis of the proximal phalanx of the 3rd finger	None
Uneven increase in bone density in the innermost bone of the middle finger	None
Curved proximal toe phalanx	None
Curved proximal phalanges of the toes	None
Curved innermost toe bones	None
Fatigable weakness of swallowing muscles	None
Broad tibial metaphyses	None
Broad wide portion of shankbone	None
Broad wide portion of shinbone	None
Eosinophilic infiltration of skeletal muscle	None
Muscle eosinophilia	None
Fused innermost bone of 2nd toe with the 2nd long bone of foot	None
Symphalangism of the proximal phalanx of the 2nd toe with the 2nd metatarsal	None
Decreased muscle caveolin-3 level	None
Decreased muscle caveolin-3 expression	None
Tibial bowing	None
Bowed tibia	None
Bowing of the tibia	None
Bowed shinbone	None
Bowed shankbone	None
Back pain	None
Lower limb peromelia	None
Complete duplication of the innermost bones of the hand	None
Complete duplication of the proximal phalanges of the hand	None
Abnormality of the innermost bone little finger	None
Abnormality of the innermost bone pinky finger	None
Abnormality of the innermost bone pinkie finger	None
Abnormality of the proximal phalanx of the 5th finger	None
Hypoplasia of the calcaneus	None
Small heel bone	None
Underdeveloped heel bone	None
Hypoplastic calcaneus	None
Abnormal shape of long bones of hand	None
Abnormal shape of metacarpal bones	None
Abnormal metacarpal morphology	None
Scapuloperoneal atrophy	None
Scapuloperoneal amyotrophy	None
Absent cervical vertebra	None
Increased bone density in little toe bone	None
Increased bone density in pinky toe bone	None
Sclerosis of the phalanges of the 5th toe	None
Increased bone density in pinkie toe bone	None
Sclerosis of 5th toe phalanx	None
Osteosclerosis of the ulna	None
Sclerotic ulna	None
Spastic tetraparesis	None
Spastic quadriparesis	None
Abnormalities of the wrists	None
Abnormality of the wrist	None
bone sternoclavicular joint	None
Fractured sternoclavicular joint	None
Type A1 brachydactyly	None
Persistent, open anterior fontanel	None
Persistent open anterior fontanelle	None
Anterior fontanelle open in adults	None
Front fontanelle stays open	None
Valgus position of the calcaneus	None
Foot and ankle bend up toward shin of leg	None
Calcaneovalgus	None
Calcaneovalgus deformity	None
Calcaneovalgus Foot	None
Trapezoidal vertebral body	None
Trapezoidal vertebral bodies	None
Trapezoidal shaped vertebral bodies	None
Short middle phalanx of the 4th toe	None
Short middle bone of 4th toe	None
Hypoplastic/small middle phalanx of the 4th toe	None
Short middle phalanx of the fourth toe	None
Increased fracture rate	None
Multiple spontaneous fractures	None
Recurrent fractures	None
Increased fractures	None
Varying degree of multiple fractures	None
Frequent fractures	None
Multiple fractures	None
Aplasia/Hypoplasia of the ulna	None
Hypoplasia or unilateral/bilateral absence of ulna	None
Absent-hypoplastic ulnae	None
Ulnar hypoplasia/aplasia	None
Absent/small ulna	None
Absence/underdevelopment of inner forearm bone	None
Triangular epiphysis of the distal phalanx of the 3rd finger	None
Delta-shaped epiphysis of the distal phalanx of the 3rd finger	None
Triangular end part of the outermost long bone of the middle finger	None
Speckled calcification in metaphysis of long bone of upper arm	None
Stippled calcification of humeral metaphysis	None
Cone-shaped epiphyses of hand	None
Cone-shaped epiphyses of the fingers	None
Cone-shaped end part of finger bones	None
Cone-shaped epiphyses of the phalanges of the hand	None
Conical phalangeal epiphyses	None
Coned epiphyses of hands	None
Hypoplastic humerus	None
Humeral shortening	None
Humeral hypoplasia	None
Short long bone of upper arm	None
Short humerus	None
Short humeri	None
Short upper arms	None
Absent bones of the lower limbs	None
Aplasia involving bones of the lower limbs	None
Speckled calcifications in the end part of the first long bone of hand	None
Stippling of the epiphysis of the 1st metacarpal	None
Epiphyseal stippling of the first metacarpal	None
Metaphyseal spurs	None
Tendon/muscle rupture	None
Rupture of tendons	None
Tendon rupture	None
Ruptured tendon	None
Absent dorsal skin creases over affected joints	None
Sclerosis of distal finger phalanx	None
Sclerosis of the distal phalanges of the hand	None
Increased bone density in outermost finger bone	None
Large anterior fontanel	None
Large anterior fontanelle	None
Large open anterior fontanel	None
Wide open anterior fontanelle	None
Wide anterior fontanelle	None
Wide anterior fontanel	None
Large anterior fontanels	None
Large open anterior fontanelle	None
Wider-than-typical soft spot of skull	None
Modic type 1 vertebral endplate changes	None
Modic type I vertebral endplate changes	None
Cerebellopontine angle arachnoid cyst	None
Lambdoid suture craniosynostosis	None
Lambdoidal craniosynostosis	None
Lambdoid suture synostosis	None
Enlarged metaphyses	None
Enlarged wide portion of a long bone	None
Brachy-turricephaly	None
Brachyturricephaly	None
High, prominent forehead	None
Turribrachycephaly	None
Hyperplastic helix crus	None
Prominent crus of helix	None
Hypertrophic helix crus	None
Helix, crus, prominent	None
Abnormal prominence of the crus of the ear	None
Steep acetabular roof	None
Irregular epiphyses of the 4th finger	None
Irregular end part of the ring finger bones	None
Small epiphysis of the distal phalanx of the hallux	None
Small end part of the outermost bone of the big toe	None
Fragmentation of the epiphysis of the proximal phalanx of the 2nd finger	None
Fragmentation of end part of innermost long bone of index finger	None
Broad phalanges of the 2nd toe	None
Broad bones of the 2nd toe	None
Contracture of the metatarsophalangeal joint of the 5th toe	None
Snapping sensation at metacarpophalangeal joint	None
Abnormal muscle fibre dysferlin	None
Abnormal muscle fiber dysferlin	None
Complete duplication of the phalanges of the 2nd finger	None
Complete duplication of the bones of the index finger	None
Alveolar rhabdomyosarcoma	None
Patchy sclerosis of the proximal phalanx of the 4th toe	None
Uneven increase in bone density in the innermost bone of the 4th toe	None
Hypoplastic iliac wings	None
Hypoplastic iliac alae	None
Hypoplastic iliac wing	None
Small iliac wings	None
Straight collarbone	None
Straight clavicles	None
Triceps weakness	None
Triangular epiphysis of the proximal phalanx of the 2nd finger	None
Triangular end part of innermost long bone of index finger	None
Triangular epiphysis of proximal index finger phalanx	None
Wrist drop	None
Abnormal odontoid peg	None
Abnormal odontoid process morphology	None
Abnormal odontoid process	None
Abnormality of the odontoid process	None
Amelogenesis imperfecta	None
Fractured metatarsal bone of digit 1	None
bone metatarsal bone of digit 1	None
Aplasia of the distal phalanx of the 4th finger	None
Absent outermost bone of ring finger	None
Abnormality of the sphenoidal sinus	None
Abnormality of the sphenoid sinus	None
Sinusitis, chronic	None
Chronic sinus disease	None
Chronic sinusitis	None
Prominent lumbar lordosis	None
Lumbar lordosis	None
Excessive inward curvature of lower spine	None
Lumbar hyperlordosis	None
Exaggerated lumbar lordosis	None
Increased lumbar lordosis	None
Missing primary palate bone	None
Absence of the intermaxillary bone	None
Aplasia of the premaxilla	None
Failure of development of the primary palate bone	None
