Pneumomediastinum	HP:0025421
Decreased thymic hormone	None
Decreased circulating aldosterone concentration	None
Low blood aldosterone level	None
Mineralocorticoid insufficiency	None
Hypoaldosteronism	None
Decreased aldosterone production	None
Decreased aldosterone	None
Decreased serum aldosterone	None
Abnormal circulating calcitonin concentration	None
Parathyroid Cancer	None
Parathyroid carcinoma	None
Abnormal response to gonadotropin-releasing hormone stimulation test	None
Abnormal response to GnRH stimulation test	None
Abnormal circulating progesterone level	None
Underdeveloped parathyroid glands	None
Parathyroid hypoplasia	None
Small parathyroid glands	None
Small pituitary gland	None
Abnormality of circulating glucocorticoid level	None
Decreased circulating corticosterone level	None
Decreased circulating antimullerian hormone circulation	None
Anti-Mullerian hormone low	None
Decreased plasma AMH	None
Decreased antimullerian hormone level	None
Hyperparathyroidism	None
Elevated blood parathyroid hormone level	None
Absence of pubertal development	None
Increased circulating dehydroepiandrosterone-sulfate concentration	None
Accessory ectopic thyroid tissue	None
Thyroid hemiagenesis	None
Decreased circulating epinephrine concentration	None
Nonmedullary thyroid carcinoma	None
Thyroid cancer, nonmedullary	None
Non-medullary thyroid carcinoma	None
Posterior pituitary agenesis	None
Neurohypophysis agenesis	None
Abnormal serum estradiol	None
Erythropoietin low in blood	None
Reduced circulating erythropoietin concentration	None
Chemodectoma	None
Chemodectomas	None
Insulin-dependent but ketosis-resistant diabetes	None
Abnormal TSH response to TRH stimulation test	None
Abnormal TSH response to thyrotrophin-releasing hormone stimulation test	None
Pituitary microadenoma	None
Hypoinsulinemia	None
Decreased pituitary glycoprotein hormone alpha subunit level	None
Decreased pituitary glycoprotein polypeptide alpha subunit level	None
Decreased pituitary glycoprotein alpha subunit level	None
Decreased thyroid-stimulating hormone level	None
Decreased thyrotropin level	None
Decreased plasma TSH	None
Multiple pancreatic beta-cell adenomas	None
Hyperactive renin-angiotensin system	None
Increased plasma renin activity	None
Euthyroid multinodular goitre	None
Euthyroid multinodular goiter	None
ACTHR defect	None
Adrenocorticotropin receptor defect	None
Adrenocorticotropic hormone-resistant adrenal insufficiency	None
ACTH receptor defect	None
Large thyroid	None
Thyroid hyperplasia	None
Low tetrahydrocortisol (THF) plus 5-alpha-THF/tetrahydrocortisone (THE) ratio	None
Macronodular adrenal hyperplasia	None
Pubertal developmental failure in females	None
Decreased adiponectin level	None
Insulin-resistant diabetes mellitus	None
Insulin resistant diabetes	None
Insulin resistant diabetes mellitus	None
Insulin-resistant diabetes	None
Increased circulating T4 concentration	None
Increased circulating T4 level	None
Increased circulating thyroxine level	None
Abnormal circulating thyrotropin concentration	None
Abnormal thyroid-stimulating hormone level	None
Abnormal TSH level	None
Abnormal thyrotropin level	None
Reduced pancreatic beta cells	None
Elevated circulating insulin:C-peptide ratio	None
Abnormal adrenal gland position	None
Ectopic adrenal gland	None
Decreased serum estriol	None
Abnormal circulating free T4 level	None
Abnormal circulating free thyroxine level	None
Abnormal circulating free T4 concentration	None
Increased serum testosterone level	None
Increased testosterone	None
High serum testosterone levels	None
High serum testosterone level	None
Increased serum testosterone levels	None
Suppressed plasma renin activity	None
Decreased circulating renin level	None
Decreased plasma renin activity	None
Decreased circulating renin concentration	None
Low plasma renin activity	None
Neoplasm of the adrenal cortex	None
Cortical adrenal neoplasia	None
Thymic cyst	None
Reduced circulating insulin-like growth factor 2 concentration	None
Decreased circulating osteocalcin level	None
Secretory adrenocortical adenoma	None
Secretory adrenal adenoma	None
Reduced TSH response to thyrotrophin-releasing hormone stimulation test	None
Decreased response to growth hormone stimulation test	None
Abnormality of circulating cortisol level	None
Abnormal response to glucagon stimulation test	None
Delayed menarche	None
Delayed start of first period	None
Elevated LH level	None
Elevated circulating luteinizing hormone level	None
Increased circulating luteinizing hormone level	None
Elevated luteinizing hormone	None
Elevated circulating VEGF concentration	None
Elevated vascular endothelial growth factor level	None
Decreased circulating dehydroepiandrosterone-sulfate concentration	None
Decreased circulating dehydroepiandrosterone-sulfate level	None
Graves disease	None
Morbus Basedow	None
Adrenocortical hypoplasia	None
Small adrenal cortex	None
Abnormal circulating inhibin level	None
Abnormal circulating osteocalcin level	None
Decreased serum progesterone	None
Decreased circulating progesterone	None
Early onset of puberty in males	None
Precocious puberty in males	None
Male precocious puberty	None
Decreased circulating PTH level	None
Decreased serum PTH	None
Decreased circulating parathyroid hormone level	None
Decreased serum parathyroid hormone	None
Decreased serum parathyroid hormone level	None
Elevated serum IGF1	None
Increased serum insulin-like growth factor 1	None
Increased serum IGF1	None
Increased circulating insulin-like growth factor 1 concentration	None
Decreased activity of gonads	None
Hypogonadism	None
Increased circulating procalcitonin concentration	None
Increased circulating procalcitonin level	None
Adrenocorticotropic hormone excess	None
ACTH excess	None
Adrenal calcification	None
Thyroid dysgenesis	None
Thyroid dysplasia	None
Increased urinary 11-deoxytetrahydrocorticosterone level	None
Euthyroid goiter	None
Euthyroid goitre	None
Increased circulating free triiodothyronine	None
Increased serum free triiodothyronine	None
Increased serum free T3	None
Increased serum fT3	None
Increased circulating free T3	None
Asymptomatic hyperthyroxinemia	None
Euthyroid hyperthyroxinemia	None
Lying down adrenal gland	None
Lying down adrenal sign	None
Pancake adrenal gland	None
Elongated adrenal gland	None
Discoid adrenal gland	None
Straight adrenal gland	None
Nodular goitre	None
Nodular goiter	None
Abnormal response to ACTH stimulation test	None
Abnormal response to adrenocorticotropic-hormone stimulation test	None
Abnormal response to corticotropin stimulation test	None
Parathyroid adenomas	None
Parathyroid adenoma	None
Adrenal gland disease	None
Adrenal abnormalities	None
Abnormality of the adrenal glands	None
Abnormal circulating follicle-stimulating hormone level	None
Abnormal circulating follicle-stimulating hormone concentration	None
Pituitary spindle cell oncocytoma	None
277000	None
Decreased circulating inhibin B concentration	None
Abnormal plasma renin	None
Abnormal circulating renin	None
Abnormal circulating renin concentration	None
Retroperitoneal chemodectoma	None
Retroperitoneal paraganglioma	None
Gastric carcinoid tumor	None
Abnormal circulating gastrin concentration	None
Abnormal circulating gastrin level	None
Thyroid crisis	None
Decreased circulating dihydrotestosterone concentration	None
Pituitary calcification	None
Abnormal circulating inhibin B concentration	None
Decreased circulating catecholamine concentration	None
Pheochromocytoma, adrenal	None
Pheochromocytomas, adrenal	None
Adrenal pheochromocytoma	None
Decreased serum estradiol	None
Thyroid follicular hyperplasia	None
Elevated circulating erythropoietin concentration	None
Elevated circulating erythropoietin	None
Abnormality of adrenal morphology	None
Abnormal adrenal morphology	None
Low parathyroid hormone	None
Decreased parathyroid hormone secretion	None
Hypoparathyroidism	None
Mild hypothyroidism	None
Compensated hypothyroidism	None
Subclinical hypothyroidism	None
disorder of pituitary gland	None
Abnormality of the pituitary gland	None
Abnormal pituitary gland morphology	None
Pituitary gonadotropinoma	None
Pituitary gonadotropic cell adenoma	None
Endocrine system disease	None
Abnormality of the endocrine system	None
Diabetes insipidus	None
Adrenocorticotropin deficient adrenal insufficiency	None
ACTH deficient adrenal insufficiency	None
Adrenal overactivity	None
Multinodular goitre	None
Multinodular goiter	None
Neoplasm of the adrenal medulla	None
Medullar adrenal neoplasia	None
Decreased growth hormone responses to growth hormone-releasing hormone challenge	None
Impaired growth hormone secretory responses after growth hormone-releasing hormone challenge	None
Neonatal insulin-dependent diabetes mellitus	None
Glucagonoma	None
Increased glucagon level	None
Adrenocortical hyperplasia	None
Pituitary carcinoma	None
Increased LH response to gonadotropin-releasing hormone stimulation test	None
Increased circulating free T4 concentration	None
Increased circulating free T4 level	None
Panhypopituitarism	None
Pituicytoma	None
Reduced circulating growth hormone concentration	None
Growth hormone deficiency	None
Somatotropin deficiency	None
Abnormal pituitary stalk morphology	None
Abnormal circulating corticosterone level	None
Abnormality of circulating corticosterone level	None
Premature adrenarche	None
Adrenocortical cytomegaly	None
Pituitary blastoma	None
Abnormal T3/T4 ratio	None
Inactivating TSHR defect	None
Inactivating thyroid-stimulating hormone receptor defect	None
Inappropriate normal or low erythropoietin	None
Underdeveloped pituitary gland	None
Small anterior pituitary lobe	None
Hypoplasia of the pituitary gland	None
Anterior pituitary hypoplasia	None
Abnormal circulating dehydroepiandrosterone concentration	None
Abnormal serum dehydroepiandrosterone level	None
Abnormal serum DHEA	None
Abnormal serum androstenolone level	None
Hyperandrogenemia	None
Increased circulating androgen level	None
Increased circulating androgen concentration	None
Parathyroid dysgenesis	None
Familial primary hyperaldosteronism type 1	None
Dexamethasone-suppressible primary hyperaldosteronism	None
Glucocorticoid-remediable familial primary aldosteronism	None
Elevated circulating 21-deoxycortisol concentration	None
Precocious puberty with Sertoli cell tumour	None
Precocious puberty with Sertoli cell tumor	None
Adrenogenital syndrome	None
Overactive thyroid	None
Hyperthyroidism	None
Decreased function of male gonad	None
Male hypogonadism	None
Thyroid cyst	None
Fibroblast growth factor 23 hormone low in blood	None
Reduced circulating fibroblast growth factor 23 concentration	None
Elevated circulating vasoactive intestinal peptide concentration	None
Resistance to thyroid hormone	None
Thyroid hormone receptor defect	None
Impaired sensitivity to thyroid hormone	None
Elevated serum levels of free thyroid hormone with nonsuppressed TSH	None
End-organ unresponsiveness to thyroid hormone	None
Thyroid hormone resistance	None
Decreased circulating thrombopoietin concentration	None
Early onset of sexual maturation	None
Lipogranulomatosis	None
Pathological inclusion body	None
Premature chromatid separation	None
Abnormal serum level of immunoglobulin	None
Abnormal immunoglobulin concentration	None
Abnormal circulating immunoglobulin concentration	None
Abnormal serum immunoglobulin levels	None
Immunoglobulin abnormality	None
Abnormal immunoglobulin level	None
Abnormal serum immunoglobulin concentration	None
Abnormality of chromosome condensation	None
Transient decreased circulating total IgG	None
Reduced natural killer cell activity	None
Perinuclear cardiomyocyte vacuolization	None
Chronic (near) absent total IgG in blood	None
Chronic absent circulating total IgG	None
Elevated immunoglobulin E	None
High immunoglobulin E	None
Increased circulating IgE level	None
Elevated serum IgE	None
Increased circulating IgE concentration	None
Rectilinear profiles ultrastructurally	None
Rectilinear intracellular accumulation of autofluorescent lipopigment storage material	None
Complete or near-complete absence of specific antibody response to Haemophilus influenzae type b (Hib) vaccine	None
Abnormal lymphocyte proliferation	None
Endopolyploidy on chromosome studies of bone marrow	None
Decreased circulating IgG3 concentration	None
Decreased circulating IgG3 level	None
Decreased IgG3 level in blood	None
Increased oocyte death	None
Monoclonal elevation of IgG light chain	None
Reduced CD95-induced lymphocyte apoptosis	None
Complete or near-complete absence of specific antibody response to tetanus vaccine	None
Partial absence of specific antibody response to tetanus vaccine	None
Abnormal mitochondrial number	None
Megamitochondria	None
Mitochondrial hypertrophy	None
Abnormal activity of mitochondrial respiratory chain	None
Increased anti-insect IgE antibody level	None
Decreased activity of the pyruvate dehydrogenase complex	None
Pyruvate dehydrogenase complex deficiency	None
Decreased activity of the PDH complex	None
Perivascular pseudorosette	None
Cardiomyocyte hyaline bodies	None
Respiratory complex II deficiency	None
Decreased activity of mitochondrial complex II	None
Chronic absent circulating IgD	None
Chronic (near) absent IgM in blood	None
Complete or near-complete absence of specific antibody response to meningococcus vaccine	None
Increased level of anti-food allergen IgE antibody	None
Increased anti-food allergen IgE antibody level	None
Whole-immunoglobulin paraproteinemia	None
Decreased specific antibody response to infection	None
Partial absence of specific antibody response to Haemophilus influenzae type b (Hib) vaccine	None
Abnormality of chromosome segregation	None
Reduced granulocyte CD16 level	None
Abnormality of redox activity	None
Curvilinear intracellular accumulation of autofluorescent lipopigment storage material	None
Curvilinear profiles ultrastructurally in cells	None
Curvilinear profiles ultrastructurally	None
Intracellular curvilinear profiles on ultrastructural analysis	None
Waldenstrom macroglobulinemia	None
Monoclonal immunoglobulin M proteinemia	None
Increased anti-galactose-alpha-1, 3 galactose IgE antibody level	None
Increased anti-alpha-gal IgE antibody level	None
Polyclonal elevated circulating IgE concentration	None
Mitochondrial respiratory chain defects	None
Increased anti-plant product IgE antibody level	None
Reduced granulocyte CD59 level	None
Type III procollagen synthesis by fibroblasts low	None
Reduced fibroblast type III procollagen synthesis	None
Increased level of anti-animal protein IgE antibody	None
Increased anti-animal protein IgE antibody level	None
Abnormal circulating IgD level	None
Abnormal circulating IgD concentration	None
Abnormal IgD level in blood	None
Abnormal mitochondria in muscle	None
Abnormal mitochondria in muscle tissue	None
Chromosomal breakage induced by diepoxybutane	None
Chromosomal breakage induced by crosslinking agents	None
Chromosomal breakage induced by mitomycin C	None
IgA heavy chain paraproteinemia	None
Alpha heavy chain disease	None
Chronic decreased IgM in blood	None
Chronic decreased circulating IgD	None
Oligoclonal elevation of circulating IgA	None
Monoclonal elevation of circulating IgA	None
Increased anti-venom IgE antibody level	None
Chronic (near) absent circulating IgG1	None
Chronic (near) absent IgG1 in blood	None
Decreased specific antibody response to polysaccharide vaccine	None
Increased rate of premature chromosome condensation	None
Abnormal cell proliferation	None
Enlarged peroxisomes	None
Peroxisomal enlargement	None
Increased circulating IgG2 level	None
Absent Birbeck granules in Langerhans cells	None
Acid phosphatase elevated	None
Elevated serum acid phosphatase	None
Increased anti-dust mite IgE antibody level	None
Increased level of anti-dust mite IgE antibody	None
Oligoclonal elevated circulating IgE concentration	None
Oligoclonal elevation of circulating IgE	None
Poor CD25 upregulation upon TCR activation	None
Reduced IL2RA upregulation upon TCR activation	None
Decreased CD25 upregulation upon TCR activation	None
Decreased T-cell activation	None
Defective T cell activation	None
Decreased T-lymphocyte activation	None
Profound depletion of T4+ lymphocytes	None
Decreased T lymphocyte activation	None
Decreased T cell activation	None
Abnormality of T cell physiology	None
Abnormal cardiomyocyte plakoglobin staining	None
Abnormal T lymphocyte activation	None
Abnormal T-lymphocyte activation	None
Abnormal T-cell activation	None
Abnormal T cell activation	None
Elongated mitochondria	None
Absent specific antibody response	None
Partial absence of specific antibody response to unconjugated pneumococcus vaccine	None
Reduced fibroblast surface marker level	None
Secretory IgA deficiency	None
Transient decreased circulating IgG4	None
Transient decreased IgG4 in blood	None
Increased anti-bacteria IgE antibody level	None
Increased level of anti-bacteria IgE antibody	None
Abnormal flow cytometry test result	None
Decreased FasL-mediated apoptosis	None
Monoclonal elevation of intact IgG	None
Cardiomyocyte inclusion bodies	None
Cellular metachromasia	None
Increased anti-house dust IgE antibody level	None
Increased anti-house dust mite IgE antibody level	None
Increased level of anti-house dust IgE antibody	None
Long telomere length	None
Elongated telomeres	None
Abnormality of the mitochondrion	None
Mitochondrial abnormalities	None
Increased circulating IgG4 level	None
IgM heavy chain paraproteinemia	None
Gamma heavy-chain disease	None
IgG heavy chain paraproteinemia	None
Agammaglobulinemia	None
Agammaglobulinaemia	None
Abnormality of lysosomal metabolism	None
Chronic partially decreased circulating IgG2	None
Chronic partially decreased IgG2 in blood	None
Increased anti-gluten IgE antibody level	None
Increased level of anti-gluten IgE antibody	None
Increased anti-dairy protein IgE antibody level	None
Increased anti-dairy IgE antibody level	None
Flexner-Wintersteiner rosette	None
Abnormal isohemagglutinin level	None
Abnormal level of natural antibody to blood group agents	None
Abnormal natural antibody level to blood group antigens in blood (isohemagglutinin)	None
Reduced reactive oxygen species production in neutrophils	None
Monoclonal elevation of circulating IgE	None
Monoclonal elevated circulating IgE concentration	None
Lack of delayed skin hypersensitivity reaction	None
Cutaneous anergy	None
Absence of delayed hypersensitivity skin test	None
Impaired Ig class switch recombination	None
Impaired B-lymphocyte isotype switching	None
Transient decreased circulating IgD	None
Transient decreased IgD in blood	None
Oligoclonal elevation of circulating IgG	None
Abnormal peroxisomal morphology	None
Decreased IgG subclass level in blood	None
Decreased circulating IgG subclass level	None
Decreased circulating IgG subclass concentration	None
Abnormal mitochondrial morphology	None
Abnormal mitochondrion morphology	None
Transient decreased IgG3 in blood	None
Transient decreased circulating IgG3	None
Abnormal cardiomyocyte connexin43 staining	None
Decreased expression of GPI-anchored proteins on the cell surface	None
Defective T cell proliferation	None
Abnormal T cell proliferation	None
Unesterified cholesterol accumulation in cultured fibroblasts	None
Positive filipin test	None
Defective B cell differentiation	None
Increased circulating IgM level	None
Increased IgM levels	None
Increased levels of IgM	None
Tendency to chromosomal breakage	None
Increased chromosomal breakage	None
Chromosome breakage	None
High frequency of chromosome breaks in lymphocytes	None
Multiple chromosomal breaks	None
Increased chromosomal breakage rate	None
Increased level of anti-seafood IgE antibody	None
Increased anti-seafood IgE antibody level	None
Paraproteinemia	None
Monoclonal hypergammaglobulinemia	None
Increased circulating IgG subclass	None
Paucity of peroxisomes	None
Decreased specific pneumococcal antibody level	None
Low pneumococcal antibody titer	None
Specific pneumococcal antibody deficiency	None
Chronic partially decreased IgG1 in blood	None
Chronic partially decreased circulating IgG1	None
Increased immunoglobulin level in body fluid	None
Chronic (near) absent IgG4 in blood	None
Chronic (near) absent circulating IgG4	None
Increased susceptibility to spontaneous sister chromatid exchange	None
Decreased CD69 upregulation upon TCR activation	None
Long chain 3 hydroxyacyl coA dehydrogenase deficiency	None
Short-chain 3-hydroxyacyl-coenzyme A dehydrogenase deficiency	None
Decreased 3-hydroxyacyl-CoA dehydrogenase level	None
Medium and short-chain L-3-hydroxyacyl-coenzyme A dehydrogenase deficiency	None
Polyclonal elevation of circulating IgA	None
Decreased circulating IgG4 level	None
Decreased circulating IgG4 concentration	None
Decreased IgG4 level in blood	None
Panhypogammaglobulinaemia	None
Panypogammaglobulinemia	None
Panhypogammaglobulinemia	None
Short telomere length	None
Increased anti-parasite IgE antibody level	None
Abnormal telomere morphology	None
Chronic decreased total IgG in blood	None
Chronic decreased circulating total IgG	None
Mitochondrial swelling	None
Chronic decreased IgG2 in blood	None
Chronic decreased circulating IgG2	None
Reduced granulocyte CD55 level	None
Neurocytic rosette	None
Pineocytomatous rosette	None
Abnormality of DNA repair	None
Abnormality of cell physiology	None
Abnormal cellular physiology	None
Impaired cerebroside sulfate hydrolysis	None
Monoclonal elevation of IgG	None
Transient hypogammaglobulinemia of infancy	None
Newborn gammaglobulin deficiency	None
Oxidative stress	None
Increased reactive oxygen species production	None
Increased ROS production	None
Abnormal distribution of cell junction proteins in buccal mucosal cells	None
Mitochondrial propionyl-CoA carboxylase defect	None
Mitochondrial PCC defect	None
Increased activity of mitochondrial respiratory chain	None
Defective lymphocyte apoptosis	None
Decreased lymphocyte apoptosis	None
Multiple mitochondrial DNA deletions	None
Multiple mtDNA deletions	None
Abnormal IgG level in blood	None
Abnormal circulating IgG concentration	None
Abnormal circulating IgG level	None
Increased lymphocyte apoptosis	None
Heavy-chain paraproteinemia	None
Increased anti-feather IgE antibody level	None
Chronic decreased circulating IgG1	None
Chronic decreased IgG1 in blood	None
Decreased plasma total carnitine	None
Chronic decreased IgE in blood	None
Chronic decreased circulating IgE	None
Chronic decreased circulating IgE concentration	None
Decreased plasma free carnitine	None
Abnormal natural killer cell physiology	None
Abnormality of B cell physiology	None
Reduced B cell function	None
Abnormal apoptosis	None
Abnormal cardiomyocyte morphology	None
Abnormal cardiac muscle cell morphology	None
Increased circulating precipitin level	None
Increased level of antigen-precipitating IgG antibodies	None
Abnormal lysosomal morphology	None
Mitochondrial depletion	None
Partial absence of specific antibody response to hepatitis B vaccine	None
Absence of peroxisomes	None
Abnormal oocyte morphology	None
Decreased circulating IgG2 level	None
Decreased circulating IgG2 concentration	None
Immunoglobulin IgG2 deficiency	None
Decreased IgG2 level in blood	None
Reduced IgG2 levels	None
Decreased circulating antibody level	None
Hypogammaglobulinemia	None
Immunoglobulin deficiency	None
Decreased serum immunoglobulin	None
Reduced immunoglobulin levels	None
Decreased antibody level in blood	None
Decreased immunoglobulin level	None
Decreased circulating antibody concentration	None
Prolonged G2 phase of cell cycle	None
Abnormal cellular phenotype	None
Decreased circulating IgE	None
Decreased IgE	None
IgE deficiency	None
Decreased circulating IgE concentration	None
Increased level of anti-plant based food allergen IgE antibody	None
Increased anti-plant based food allergen IgE antibody level	None
Absent circulating immunoglobulin kappa chain	None
Specific anti-polysaccharide antibody deficiency	None
Decreased specific anti-polysaccharide antibody level	None
Low specific anti-polysaccharide antibody titer	None
Depressed antibody response to polysaccharide antigens	None
Reduced fibroblast CD55 level	None
Intranuclear cardiomyocyte mitochondria	None
Chronic partially decreased IgG4 in blood	None
Chronic partially decreased circulating IgG4	None
Absent zona pellucida	None
Complete or near-complete absence of specific antibody response to hepatitis B vaccine	None
Decreased immunoglobulin G	None
Decreased circulating IgG concentration	None
Decreased IgG level in blood	None
IgG deficiency	None
Decreased circulating IgG level	None
Decreased gamma-globin expression	None
Reduced IgG levels	None
Decreased serum IgG	None
Decreased IgG level	None
Abnormal cell morphology	None
Abnormal mitochondrial shape	None
Intracellular accumulation of autofluorescent lipopigment storage material	None
Abnormal circulating IgA concentration	None
Abnormal IgA level in blood	None
Abnormal circulating IgA level	None
Chronic (near) absent IgG3 in blood	None
Chronic (near) absent circulating IgG3	None
Intracellular accumulation of Dol-PP-GlcNAc2Man5	None
Increased sensitivity to ionizing radiation	None
Increased hepatitis B virus antibody level	None
Increased level of anti-dander IgE antibody	None
Increased anti-animal dander IgE antibody level	None
Increased mitochondrial number	None
Decreased specific antibody response to vaccination	None
Decreased total IgA in blood	None
Decreased circulating total IgA	None
Total immunoglobulin A deficiency	None
Decreased IgM	None
Decreased circulating total IgM	None
IgM deficiency	None
Decreased IgM level	None
Reduced IgM levels	None
Complete or near-complete absence of specific antibody response to unconjugated pneumococcus vaccine	None
Abnormal chromosome morphology	None
Decreased lymphocyte proliferation in response to anti-CD3	None
Defective proliferation of lymphocytes following anti-CD3 stimulation	None
Defective lymphocyte proliferation to anti-CD3	None
Abnormality of chromosome stability	None
Dysgammaglobulinemia	None
Chronic decreased circulating IgG3	None
Chronic decreased IgG3 in blood	None
Partial IgA deficiency	None
Oligoclonal elevation of circulating IgM	None
Chronic (near) absent IgG2 in blood	None
Chronic (near) absent circulating IgG2	None
Absent natural antibody to blood group agents	None
Complete or near-complete absence of isohemagglutinins	None
Absent isohemagglutinin level	None
Optic disc pit	None
Optic nerve pit	None
Optic pit	None
Downbeat nystagmus	None
Oculomotor nerve palsy	None
Oculomotor neuropathy	None
Undetectable dark-adapted electroretinogram	None
Abnormal Hardy-Rand-Rittler plate test	None
Nodular corneal dystrophy	None
Pigmentary retinopathy	None
Retinal pigmentary clumping	None
Retinal pigmentary degeneration	None
Retinal pigment clumping	None
Pigmentary retinal deposits	None
Perifoveal hypoautofluorescence	None
Pericentral scotoma	None
Glial remnants posterior to lens	None
Mittendorf dot	None
Progressive ophthalmoplegia	None
Complete congenital stationary night blindness	None
Inferior oblique muscle underaction	None
Macular edema	None
Macular oedema	None
Abnormal pupil shape	None
Irregular pupil	None
Sub-macular hemorrhage	None
Submacular haemorrhage	None
Submacular hemorrhage	None
Sub-macular haemorrhage	None
Hypodeviation	None
Unaided visual acuity 0.9 LogMAR	None
Bulging cornea	None
Keratoconus	None
Conical cornea	None
Lack of pupillary response to hydroxyamphetamine	None
Deep episcleral hyperaemia	None
Deep episcleral hyperemia	None
Congruous hemianopsia	None
Congruous homonymous hemianopia	None
Glial remnants anterior to the optic disc	None
Bergmeister papilla	None
Epiretinal membrane	None
Macular pucker	None
Premacular fibrosis	None
Epiretinal membranes	None
Compensatory chin depression	None
Thickened choroid	None
Pachychoroid	None
Increased choroidal thickness	None
Choroid thickening	None
Reduced anterior scleral thickness	None
Falciform retinal fold	None
Congenital retinal fold	None
Retinopathy of prematurity stage 4b	None
ROP 4b	None
Choroidal melanoma	None
Abnormal indocyanine green angiography	None
Pyramidal cataract	None
Anterior pyramidal cataract	None
Abnormality of fundus pigmentation	None
Visual acuity light perception without projection	None
Hypometric upward saccades	None
Abnormal stereopsis	None
Seborrhoeic blepharitis	None
Reticular retinal dystrophy	None
Opsoclonus	None
Cortical cataract	None
Increased cup disk ratio	None
Increased cup disc ratio	None
Elevated cup to disk ratio	None
Optic cupping	None
Elevated cup to disc ratio	None
Increased cup-to-disc ratio	None
Incyclophoria	None
Total vision loss	None
Legal blindness	None
Blindness	None
Absence of eyeballs	None
Anophthalmia, clinical	None
Missing globe of eye	None
Failure of development of eyeball	None
Absence of globes of eyes	None
No eyeball	None
Clinical anophthalmia, unilateral/bilateral	None
Anophthalmia	None
Missing eyeball	None
No globe of eye	None
Ocular absence	None
Visual field defect	None
Partial loss of field of vision	None
Visual field defects	None
Involuntary, rapid, rhythmic eye movements	None
Nystagmus	None
Abnormal optic disc morphology	None
Lenticular astigmatism	None
Retinal haemorrhage	None
Retinal haemorrhages	None
Retinal hemorrhage	None
Retinal hemorrhages	None
Retinal bleeding	None
Severe farsightedness	None
Severe long-sightedness	None
High hypermetropia	None
High hyperopia	None
High-grade hypermetropia	None
Non-accomodative esotropia	None
Drooping of both upper eyelids	None
Bilateral ptosis	None
Near exotropia	None
Meibomian gland disease	None
Posterior blepharitis	None
Meibomian gland dysfunction	None
Pale optic discs	None
Disc pallor	None
Optic disc pallor	None
Pale optic disc	None
Medial rectus muscle weakness	None
Dissociated vertical deviation	None
Conjunctival telangiectasia	None
Small dilated blood vessels near membrane covering front of eye and eyelids	None
Telangiectasia, conjunctival	None
Conjunctival telangiectases	None
Static ophthalmoparesis	None
Congenital ptosis	None
Congenital drooping upper eyelid	None
Retinal edema	None
Intraretinal fluid	None
Intra-retinal fluid	None
Tortuous retinal vessels	None
Retinal vascular tortuosity	None
Blurred vision	None
Sub-ILM haemorrhage	None
Sub-ILM hemorrhage	None
Sub-inner limiting membrane haemorrhage	None
Sub-inner limiting membrane hemorrhage	None
Photoreceptor layer loss on macular OCT	None
Juvenile posterior subcapsular lenticular opacities	None
Achromatopsia	None
Rod monochromacy	None
Rod monochromatism	None
Abnormal electroretinogram	None
ERG abnormal	None
Abnormal electroretinography	None
Abnormal ERG	None
Aplasia/Hypoplasia affecting the fundus	None
Absent/small fundus	None
Abnormal light-adapted single flash electroretinogram	None
Retinal telangiectasia	None
Iris coloboma	None
Coloboma of the iris	None
Coloboma of iris	None
Keyhole iris	None
Cat eye	None
Best corrected visual acuity 1.3 LogMAR	None
Abnormal Humphrey SITA 24-2 perimetry test	None
Esophoria	None
Shallow anterior chamber	None
Anterior chamber cells grade 0.5+	None
Paravenous chorioretinal atrophy	None
Spherophakia	None
Unaided visual acuity 0.4 LogMAR	None
Mild visual loss	None
Mild reduction in visual acuity	None
Mildly reduced visual acuity	None
Mild vision loss	None
Abnormal conjugate eye movement	None
Disconjugate eye movements	None
Anterior lenticonus	None
Retinal artery occlusion	None
Retinal arterial occlusion	None
Latent hyperopia	None
Latent hypermetropia	None
Abnormal Pelli Robson contrast sensitivity chart test	None
Pinhole visual acuity 0.6 LogMAR	None
Hypoplasia of the ciliary body	None
Abnormality of ocular abduction	None
Iris hypoperfusion	None
Anterior subcapsular cataract	None
Ocular flutter	None
Ultra-low vision with retained light perception	None
Moderate myopia	None
Saccular conjunctival dilatations	None
Saccular conjunctival aneurysms	None
Beaded vitreous appearance	None
Intraretinal hyporeflective spaces on macular OCT	None
Enlarged flash visual evoked potentials	None
High flash visual evoked potentials	None
Morning glory disk anomaly	None
Morning glory optic disc	None
Morning glory anomaly	None
Morning glory disc anomaly	None
Recurrent corneal erosions	None
Corneal erosions, recurrent	None
Recurrent corneal ulcerations	None
Recurrent breakdown of clear protective layer of eye	None
Recurrent corneal ulceration	None
Epithelial corneal erosions	None
Chorioretinal lacunae	None
Lacunar retinal depigmentation	None
Photopsia	None
Absent/underdeveloped macula	None
Aplasia/Hypoplasia of the macula	None
Progressive cataract	None
Cataract, progressive	None
Pinhole visual acuity 0.1 LogMAR	None
Red/green colour vision defect	None
Red/green color vision defect	None
Red green color blindness	None
Red green colour blindness	None
Red-green dyschromatopsia	None
Dyschromatopsia with red-green confusion	None
Upbeat nystagmus	None
Abnormal morphology of the choroidal vasculature	None
Peripheral retinal avascularization	None
Aplasia/Hypoplasia affecting the anterior segment of the eye	None
Retinal coloboma	None
Hole in the back of the eye	None
Abnormal Vistech contrast sensitivity test	None
Retinal hamartoma	None
Abnormality of the pupil	None
Pupillary abnormality	None
