Abnormality of the breast	HP:0000769
Renal artery duplication	None
Accessory renal artery	None
Double renal artery	None
Renal cortical hyperechogenicity	None
Vesicocolic fistula	None
Colovesicular fistula	None
Colovesical fistula	None
Podocyte cytoskeletal condensation	None
Tubulointerstitial mycobacterial infiltration	None
Renal tubulointerstitial mycobacterial organisms	None
Proximal tubule dysfunction	None
Selective proximal tubular damage	None
Proximal tubulopathy	None
Proximal renal tubulopathy	None
Proximal tubular defect	None
Proximal renal tubule defect	None
Immediate detumescence of penis at time of symptom onset	None
Interlobular vein intima/media liquefactive necrosis	None
Liquefactive necrosis within interlobular vein intima/media	None
Testicular gonadoblastoma	None
Gonadoblastoma, male	None
Renal atrophy	None
Kidney degeneration	None
Medullary peritubular capillary erythrocyte congestion	None
Small-head sperm	None
Microcephalic sperm head	None
Visceral epithelial hyaline droplets	None
Rudimentary fallopian tubes	None
Hypoplasia of the fallopian tube	None
Underdeveloped fallopian tube	None
Multinucleation of renal tubular epithelial cells	None
Mixed gonadal dysgenesis	None
Pure gonadal dysgenesis	None
Gonadal dysgenesis	None
Medication crystalluria	None
Hemosiderinuria	None
Renal interstitial IgG4+ plasma cell infiltration	None
Renal arteriole intima/media arteriolosclerosis	None
Mild oligozoospermia	None
Increased libido	None
Abnormality of renal excretion	None
Didelphic uterus	None
Duplex uterus	None
Uterus didelphis	None
Didelphic uteri	None
Uterus didelphys	None
Doubling of uterus	None
Uterine didelphys	None
Double uterus	None
Uterine didelphis	None
Uterus duplex	None
Duplicated uterus	None
Didelphyc uterus	None
Duplication of uterus	None
Uterus didelphus	None
Abnormal male urethral meatus morphology	None
Urinary excretion of sialylated oligosaccharides	None
Increased urinary sialyloligosaccharides	None
Decreased urine citrate concentration	None
Hypocitraturia	None
D-2-hydroxyglutaric aciduria	None
Endoarterial hypercellularity within arterioles consisting of foam cells	None
Renal arteriole foam cell endoarterial hypercellularity	None
Abnormal urine osmolality	None
Aplasia/Hypoplasia of the ovary	None
Absent/small ovary	None
Absent/underdeveloped ovary	None
Abnormal urine carboxylic acid level	None
Underdeveloped inner lips	None
Hypoplastic labia minora	None
Thyroidization-type tubular atrophy	None
Glomerular crescent formation	None
Urethral atresia, female	None
High urine tryptophan levels	None
Tryptophanuria	None
Spermatocyte maturation arrest	None
Spermatocyte meiotic arrest	None
Spermatocyte arrest	None
Spermatocytic arrest	None
Elevated urine octanoic acid level	None
Thickened glomerular basement membranes with no electron dense deposits	None
Glomerular endotheliosis	None
Decreased level of erythritol in urine	None
Abnormal renal pelvis morphology	None
Abnormality of the renal pelvis	None
Tapered sperm head	None
Abnormal renal artery morphology	None
Abnormal kidney artery	None
Abnormality of the renal artery	None
Abnormality of urine HCO3 concentration	None
Abnormality of urine bicarbonate level	None
Prostate neoplasm	None
Unicornuate uterus	None
High-grade vesicoureteral reflux	None
Dicarboxylic aciduria	None
Elevated urinary dicarboxylic acid level	None
Angulation of penis	None
Bent penis	None
Periglomerular fibrotic thickening	None
Periglomerular fibrosis	None
Endocapillary hypercellularity	None
Glomerular endocapillary hypercellularity	None
Cervical ectropion	None
Cervical erosion	None
Cervical ectopy	None
Increased urinary copper concentration	None
Podocyte infolding	None
Penile oedema	None
Penile swelling	None
Penile edema	None
Elevated urinary adipic acid	None
Meatus stenosis	None
Meatal stenosis	None
Male urethral meatus stenosis	None
Megacystis	None
Increased urinary sedoheptulose	None
Tubulointerstitial microganismal infiltration	None
Glomerular fibrinoid necrosis	None
Abnormality of urine calcium concentration	None
Abnormality of urine Ca2+ concentration	None
Abnormality of urine Ca concentration	None
Kidney Ca2+ wasting	None
Kidney calcium wasting	None
Kidney Ca wasting	None
Renal Ca2+ wasting	None
Renal Ca wasting	None
Renal calcium wasting	None
Prominent nucleoli of renal tubular epithelial cells	None
Increased glomerular mesangial matrix	None
Mesangial matrix expansion	None
Increased urinary excretion of gamma-aminobutyric acid (GABA)	None
Increased level of gamma-aminobutyric acid in urine	None
Sperm head anomaly	None
Abnormal sperm head morphology	None
Perihilar glomerular hyalinosis	None
Abnormal urine protein level	None
Aplasia of the bladder	None
Absent bladder	None
Increased urinary N-acetylglucosamine-rich oligosaccharide level	None
Renal cortical hypoechogeneity	None
Hypoechogenic renal cortex	None
Abnormal renal echogenicity	None
Elevated urinary glutarylglycine level	None
Cystathioninuria	None
High urine cystathionine levels	None
Papillary renal cell carcinoma type 1	None
Renal tubular karyomegaly	None
Accessory fallopian tube	None
Fallopian tube duplication	None
Unilateral renal agenesis	None
Unilateral kidney agenesis	None
Absent kidney on one side	None
Single kidney	None
Missing one kidney	None
Elevated urinary 3-hydroxykynurenine level	None
Podocyte myelin figures	None
Podocyte myelin inclusions	None
Spleen infarct	None
Splenic infarction	None
Splenic infarct	None
Spleen infarction	None
Splenic calcification	None
Septate gallbladder	None
Frequent Giardia lamblia infestation	None
Splenic granulomatosis	None
Pancreatic inflammation	None
Pancreatitis	None
Vomiting	None
Throwing up	None
Emesis	None
Anorectal abscess	None
Viral hepatitis	None
Colonic fibrinopurulent exudate	None
Increased spleen size	None
Splenomegaly	None
Large spleen	None
Gastric xanthomas	None
Gastric xanthomata	None
Gastric xanthoma	None
Duodenal atresia	None
Absence or narrowing of first part of small bowel	None
Oropharyngeal dysphagia	None
Oral pharyngeal dysphagia	None
Oral-pharyngeal dysphagia	None
Abdominal aseptic abscess	None
C. difficile enteritis	None
Clostridium difficile enteritis	None
Peritoneal mass	None
Stomach inflammation	None
Gastritis	None
Esophageal spasms	None
GI infarctions	None
Death of digestive organ tissue due to poor blood supply	None
Gastrointestinal infarctions	None
Hyperechogenic liver	None
Increased hepatic echogenicity	None
Gastrointestinal stromal tumour	None
Gastrointestinal stromal tumor	None
Gastrointestinal stroma tumor	None
GI stroma tumour	None
Gastrointestinal stromal tumours	None
Gastrointestinal stroma tumour	None
Gastrointestinal stromal tumors	None
GI stroma tumor	None
GIST	None
Degenerative enteric neuropathy	None
Enteric neuronal degeneration	None
Dyspepsia	None
Indigestion	None
Gap between large left and right abdominal muscles	None
Diastasis recti	None
Adenocarcinoma of the large intestine	None
Cloacal exstrophy	None
Elevated faecal sodium	None
Elevated fecal sodium	None
Protracted diarrhoea	None
Protracted diarrhea	None
Lymphoid nodular hyperplasia	None
Lymphonodular hyperplasia of the colon	None
Positive Vibrio cholerae stool culture	None
Positive Vibrio cholerae fecal culture	None
Biliary epithelial hyperplasia	None
Duodenal inflammation	None
Duodenitis	None
Feeding difficulties	None
Poor feeding	None
Feeding problems	None
Increased stool alpha1-antitrypsin concentration	None
Positive fecal cryptosporidium antigen test	None
Tube feeding	None
Duodenal atrophy	None
Intermittent yellow skin	None
Intermittent yellowing of skin	None
Intermittent jaundice	None
Intermittent icterus	None
Pancreatic pseudocyst	None
Rectal fistula	None
Umbilicus hypoplastic	None
Hypoplastic umbilicus	None
Gallbladder atresia	None
Atretic gallbladder	None
Megarectum	None
Dysphagia	None
Poor swallowing	None
Swallowing difficulty	None
Difficulty swallowing	None
Deglutition disorder	None
Swallowing difficulties	None
Collateral biliary veins	None
Collateral biliary circulation	None
Portosystemic collateral veins	None
Abnormality of the pancreas	None
Pancreatic disease	None
Redundant umbilical skin	None
Atrophic muscularis propria	None
Autonomic visceral myopathy	None
Degenerative enteric myopathy	None
Intestinal haemorrhage	None
Intestinal bleeding	None
Intestinal hemorrhage	None
Ectopia vesicae	None
Bladder exstrophy	None
Cholangiocarcinoma	None
Bile duct cancer	None
Abnormality of the peritoneum	None
Abnormal peritoneum morphology	None
Zollinger-Ellison syndrome	None
Colon tumour	None
Neoplasm of the colon	None
Colon tumor	None
Perivascular small intestinal hyaline deposition	None
Gastric ulcer	None
Stomach ulcer	None
Multiple intestinal neurofibromatosis	None
Mechanical ileus	None
Duplicated pancreatic duct	None
Duplication of pancreatic duct	None
Ileo-cecal ulcer	None
Ileocecal ulcer	None
Portal inflammation	None
Hepatic portal inflammation	None
Abnormality of exocrine pancreas physiology	None
Abnormal exocrine pancreatic function	None
Esophageal mass	None
Intrahepatic bile duct cysts	None
Intestinal lymphedema	None
Congenital shortened small intestine	None
Short bowel	None
Microcolon on contrast enema	None
Microcolon	None
Multifocal splenic abscess	None
Multilocular splenic abscess	None
Islet of Langerhans hyperplasia	None
Pancreatic islet-cell hypertrophy	None
Hypertrophic pancreatic islets	None
Pancreatic islet-cell hyperplasia	None
Hyperplastic islets of langerhans	None
Islets of langerhans hypertrophy	None
Scaphoid abdomen	None
Pancreatic hyperplasia	None
Abdominal situs ambiguus	None
Black faeces	None
Black feces	None
Melena	None
Fulminant hepatitis	None
Hepatic bridging fibrosis	None
Rokitansky-Aschoff gallbladder sinuses	None
Epithelial invaginations of the gallbladder forming cystic pockets	None
Adenomyomatosis of the gallbladder	None
Painful swallowing	None
Odynophagia	None
GI duplication	None
Gastrointestinal duplication	None
Intestinal lymphoid nodular hyperplasia	None
Colonic arteriovenous malformation	None
Neoplasm of the gallbladder	None
Neoplasia of the gallbladder	None
Neonatal cholestatic liver disease	None
Salivary basal cell adenoma	None
Impaired oropharyngeal swallow response	None
Abnormal small intestinal mucosa morphology	None
Congenital pyloric atresia	None
Impaired hepatobiliary scintigraphy tracer uptake	None
Digestive system neoplasm	None
Celiac sprue	None
Celiac disease	None
Coeliac sprue	None
Coeliac disease	None
Acholic stools	None
Clay coloured stools	None
Discolored, acholic stools	None
Clay colored stools	None
Acholia	None
Decreased mitochondrial complex III activity in liver tissue	None
Short esophagus	None
Encopresis	None
Stool soiling	None
Stool holding	None
Abnormality of digestive system physiology	None
Hepatic leiomyoma	None
Liver leiomyoma	None
Abnormality of the digestive system	None
Projectile vomiting	None
Cholelithiasis	None
Gallstones	None
Rectoureteral fistula	None
Subacute progressive viral hepatitis	None
Atrophic gastritis	None
Chronic atrophic gastritis	None
Appendicitis	None
Delayed self-feeding during toddler years	None
Intestinal lymphangiectasia	None
Gallbladder dysfunction	None
Abnormal small intestine morphology	None
Abnormality of the small intestine	None
Duodenal aganglionosis	None
Bloody mucoid diarrhea	None
Milk intolerance	None
Lactose intolerance	None
Colonic varices	None
Esophageal pouch	None
Esophageal diverticulum	None
Ileal adenocarcinoma	None
Odontogenic tumor	None
Odontogenic neoplasm	None
Odontogenic tumour	None
Small intestine mass	None
Colitis	None
Granulomatous cholangitis	None
Jejunoileal diverticula	None
Small intestinal hamartoma	None
Abdomen abnormality	None
Abnormal abdomen morphology	None
Abnormality of the abdomen	None
Abnormality of abdomen morphology	None
Abnormality of abdomen structure	None
Micronodular cirrhosis	None
Abnormal ductus choledochus morphology	None
Abnormality of the ductus choledochus	None
Abnormality of the common bile duct	None
Abnormally shaped pancreas	None
Abnormal pancreas morphology	None
Abnormality of pancreas morphology	None
Fulminant hepatic failure	None
Increased iron concentration in liver	None
Elevated hepatic iron concentration	None
Increased liver iron level	None
PEG-fed in infancy	None
Gastrostomy tube feeding in infancy	None
Diarrhoea	None
Watery stool	None
Diarrhea	None
Rectal tumour	None
Neoplasm of the rectum	None
Rectal tumor	None
Gastric volvulus	None
Pancreatic arteriovenous malformation	None
Hernia of the abdominal wall	None
Herniated abdominal wall	None
Atresia of the rectum	None
Rectal atresia	None
Primary peritoneal carcinoma	None
Gastric hypertrophy	None
Increased stomach size	None
Macrovesicular steatosis	None
Macrovesicular hepatic steatosis	None
Stomach churning	None
Hyperperistalsis	None
GI telangiectasia	None
Small, enlarged blood vessels near skin	None
Gastrointestinal telangiectasia	None
Hemoperitoneum	None
Hematoperitoneum	None
Blood in stool	None
Bloody diarrhea	None
Bloody stool	None
Bloody bowel movement	None
Chronic hepatitis	None
Chronic liver inflammation	None
Decreased faecal pH	None
Stool pH low	None
Decreased fecal pH	None
Mesenteric torsion	None
Abnormal anus morphology	None
Mallory-Denk bodies	None
Mallory bodies	None
Peri-hepatic enhancement	None
Perihepatic enhancement	None
Pancreatic intraductal papillary mucinous neoplasm	None
Gallbladder mass	None
Fluctuating hepatomegaly	None
Recurrent gastroenteritis	None
Lingual hamartoma	None
Hamartoma of tongue	None
GI inflammation	None
Gastrointestinal inflammation	None
Abnormal large intestine physiology	None
Intractable diarrhoea	None
Intractable diarrhea	None
Biliary atresia	None
Biliary duct atresia	None
Atresia of bile ducts	None
Inflammatory cap polyp	None
Spontaneous esophageal perforation	None
Boerhaave syndrome	None
Spontaneous esophageal rupture	None
Ileal atresia	None
Aplasia/Hypoplasia of the colon	None
Absent/small colon	None
Absent/underdeveloped colon	None
Pancreatic atrophy	None
Hepatic cirrhosis	None
Cirrhosis	None
Liver cirrhosis	None
Scar tissue replaces healthy tissue in the liver	None
Coarsened hepatic echotexture	None
Absent/small gallbladder	None
Aplasia/Hypoplasia of the gallbladder	None
Absent/underdeveloped gallbladder	None
Intrahepatic inclusion bodies	None
Helicobacter pylori infection	None
Elastase low in stool	None
Decreased stool elastase level	None
Liver cell adenoma	None
Hepatic adenoma	None
Hepatocellular adenoma	None
GI atresia	None
Gastrointestinal atresia	None
Recurrent abdominal hernia	None
Incisional hernia	None
Increased intestinal transit time	None
Hyperechogenic pancreas	None
Focal pancreatic islet hyperplasia	None
Hemorrhoids	None
Piles	None
Haemorrhoids	None
Juvenile colonic polyposis	None
Acute liver inflammation	None
Acute hepatitis	None
Gastric lymphoma	None
Primary gastric lymphoma	None
Hypoplasia of the gallbladder	None
Hypoplastic gallbladder	None
Absent/underdeveloped spleen	None
Aplasia/Hypoplasia of the spleen	None
Absent/small spleen	None
Giant hypertrophic gastritis	None
Menetrier disease	None
Cholestatic liver disease	None
Abnormality of the abdominal wall	None
Abnormality of external features of the abdomen	None
Dumping syndrome	None
Rapid gastric emptying	None
Abnormality of enteric nervous system morphology	None
Abnormal enteric nervous system morphology	None
Liver hamartoma	None
Splenic necrosis	None
Hepatic arteriovenous malformation	None
Liver arteriovenous malformation	None
Anal fissure	None
Anal erosion	None
Storage in hepatocytes	None
Functional intestinal obstruction	None
Small intestinal polyposis	None
Discrete intestinal polyps	None
Positive lactose hydrogen breath test	None
Hyperplastic colonic polyposis	None
Floating gallbladder	None
Mixed cirrhosis	None
Exstrophy	None
Abnormal stomach location	None
Gastric ectopia	None
Malposition of the stomach	None
Gastric malposition	None
Tumor of salivary gland	None
Cancer of salivary gland	None
Salivary gland neoplasm	None
Salivary gland neoplasia	None
Tumour of salivary gland	None
Functional abnormality of the esophagus	None
Abnormal esophagus physiology	None
Functional abnormality of the oesophagus	None
Abnormality of oesophagus physiology	None
Abnormality of esophagus physiology	None
Intestinal atresia	None
Intestinal hypoplasia	None
Hypoplastic intestines	None
Underdeveloped instestine	None
Abnormal circulating thyrotropin concentration	None
Abnormal thyroid-stimulating hormone level	None
Abnormal TSH level	None
Abnormal thyrotropin level	None
Elevated circulating ghrelin concentration	None
Inappropriate antidiuretic hormone secretion	None
SIADH	None
Inappropriate ADH secretion	None
Syndrome of inappropriate antidiuretic hormone secretion	None
Precocious puberty with Sertoli cell tumour	None
Precocious puberty with Sertoli cell tumor	None
Thyroid atypical adenoma	None
Anterior hypopituitarism	None
Decreased circulating gonadotropin concentration	None
Decreased circulating gonadotropin level	None
Elevated circulating inhibin A concentration	None
Abnormal growth hormone level	None
Abnormal somatotropin level	None
Increased circulating free triiodothyronine	None
Increased serum free triiodothyronine	None
Increased serum free T3	None
Increased serum fT3	None
Increased circulating free T3	None
Pituitary spindle cell oncocytoma	None
Posterior pituitary dysplasia	None
Neurohypophysis dysplasia	None
Posterior pituitary dysgenesis	None
Precocious puberty	None
Early onset of puberty	None
Early puberty	None
Abnormality of pineal physiology	None
Enlarged pituitary gland	None
Early onset of sexual maturation	None
Hypoplasia of the thymus	None
Small thymus	None
Thymic hypoplasia	None
Thymus hypoplasia	None
MODY	None
Maturity onset diabetes of the young	None
Maturity-onset diabetes of the young	None
Abnormal TSH response to TRH stimulation test	None
Abnormal TSH response to thyrotrophin-releasing hormone stimulation test	None
Parathyroid dysfunction	None
Parathyroid issue	None
Abnormality of the parathyroid physiology	None
Blunted aldosterone response to aldosterone suppression test	None
Abnormal circulating deoxycorticosterone level	None
Pituitary thyrotropic cell adenoma	None
Pituitary thyrotropinoma	None
Multiple pancreatic beta-cell adenomas	None
Elevated circulating VEGF concentration	None
Elevated vascular endothelial growth factor level	None
Atypical pulmonary carcinoid tumour	None
Atypical pulmonary carcinoid tumor	None
Parathyroid Cancer	None
Parathyroid carcinoma	None
Increased circulating 17 hydroxypregnenolone concentration	None
Abnormal circulating erythropoietin concentration	None
Thyroid C cell hyperplasia	None
Elevated circulating vasoactive intestinal peptide concentration	None
Decreased circulating luteinizing hormone level	None
Decreased circulating luteinising hormone level	None
Adrenal mass	None
Absence of pubertal development	None
Pseudohypoaldosteronism	None
Pancreatic insulinoma	None
Insulinoma	None
Agenesis of pineal gland	None
Paragangliomas, head and neck	None
Paraganglioma of head and neck	None
Glucocortocoid-insensitive primary hyperaldosteronism	None
Familial primary hyperaldosteronism type 2	None
Impaired cortisol response to insulin stimulation test	None
Hypothalamic hypothyroidism	None
Tertiary hypothyroidism	None
Elevated plasma aldosterone	None
Increased circulating aldosterone concentration	None
Mineralocorticoid excess	None
Increased aldosterone production	None
Increased aldosterone	None
Hyperaldosteronism	None
Reduced pancreatic beta cells	None
Abnormal circulating luteinizing hormone concentration	None
Abnormal luteinizing hormone level	None
Increased circulating lutropin	None
Abnormal circulating luteinizing hormone level	None
Abnormal adrenal gland position	None
Ectopic adrenal gland	None
Elevated circulating calcitonin concentration	None
Elevated calcitonin	None
Decreased serum leptin	None
Reduced circulating leptin level	None
Adrenocortical adenomas	None
Adrenocortical adenoma	None
Type 1 diabetes	None
Juvenile diabetes mellitus	None
Type I diabetes mellitus	None
Insulin-dependent diabetes mellitus	None
Diabetes mellitus Type I	None
Type I diabetes	None
Hypothalamic luteinizing hormone-releasing hormone deficiency	None
Secondary hyperparathyroidism	None
Neoplasm of the pituitary gland	None
Abnormality of the neurohypophysis	None
Abnormal posterior pituitary morphogenesis	None
Abnormality of the posterior pituitary	None
Pituitary macroadenoma	None
Pituitary gland macroadenoma	None
Increased circulating osteocalcin level	None
Elevated circulating erythropoietin concentration	None
Elevated circulating erythropoietin	None
Thyroid papillary carcinoma	None
Papillary thyroid carcinoma	None
Papillary carcinoma of thyroid	None
Carotid body tumors	None
Paragangliomas	None
Paraganglioma	None
Carotid body tumours	None
Decreased activity of gonads	None
Hypogonadism	None
Decreased circulating epinephrine concentration	None
Hashimoto thyroiditis	None
Chronic lymphocytic thyroiditis	None
Hashimoto's thyroiditis	None
Pseudohypoparathyroidism	None
Abnormal gonadotropin-releasing hormone concentration	None
Abnormality of gonadotropin-releasing hormone level	None
Abnormality of GnRH level	None
Thyroid microfollicular adenoma	None
Abnormal pineal melatonin secretion	None
Increased circulating corticosterone level	None
Thyroid gland amyloidosis	None
Amyloid goiter	None
Pubertal developmental failure in females	None
Hypoandrogenism	None
Androgen insufficiency	None
Increased LH response to gonadotropin-releasing hormone stimulation test	None
Hyperinsulinemia hypoglycemia	None
Hyperinsulinemic hypoglycemia	None
Hyperinsulinaemic hypoglycaemia	None
Hypergastrinemia	None
Elevated gastrin in the blood	None
Increased blood gastrin	None
Parathyroid disease	None
Abnormality of the parathyroid gland	None
Central hypothyroidism	None
Increased circulating inhibin B concentration	None
Inhibin B high in blood	None
Early onset of puberty in males	None
Precocious puberty in males	None
Male precocious puberty	None
Parathyroid adenomas	None
Parathyroid adenoma	None
Delayed thelarche	None
Neuroendocrine neoplasia	None
Neuroendocrine neoplasm	None
Hypogonadotropic hypogonadism	None
Low gonadotropins (secondary hypogonadism)	None
Hypogonadotrophic hypogonadism	None
Isolated hypogonadotropic hypogonadism	None
Leydig cell insensitivity to gonadotropin	None
Abnormality of the thymus	None
Abnormal thymus morphology	None
Decreased adiponectin level	None
Anaplastic thyroid carcinoma	None
Elevated circulating parathyroid hormone level	None
Elevated serum parathyroid hormone level	None
Elevated serum parathyroid hormone	None
Elevated serum pth	None
Increased serum parathyroid hormone	None
Elevated circulating PTH level	None
Increased circulating free T4 concentration	None
Increased circulating free T4 level	None
Abnormal serum insulin-like growth factor 1 level	None
Absence of secondary sex characteristics	None
No secondary sexual characteristics at puberty	None
Erythropoietin low in blood	None
Reduced circulating erythropoietin concentration	None
Abnormal circulating T4 concentration	None
Abnormal circulating thyroxine level	None
Abnormal circulating T4 level	None
Increased circulating cortisol level	None
Increased cortisol production	None
Cushing syndrome	None
Hypercortisolism	None
Lingual thyroid	None
Adrenal gland agenesis	None
Primary hyperparathyroidism	None
Pineal cyst	None
Thyrotoxicosis from ectopic thyroid tissue	None
Abnormal glucagon level	None
Secondary hyperaldosteronism	None
Hyperreninemic hyperaldosteronism	None
Abnormal response to glucagon stimulation test	None
Isosexual precocious puberty	None
Abnormal circulating gastrin concentration	None
Abnormal circulating gastrin level	None
Thyroid goitre	None
Enlarged thyroid gland in neck	None
Goitre	None
Thyroid goiter	None
Goiter	None
Abnormal pituitary stalk morphology	None
Abnormal circulating androgen level	None
Abnormal response to endocrine stimulation test	None
Increased urinary 11-deoxycorticosterone level	None
Secondary hypercortisolism	None
ACTH-dependent hypercortisolemia	None
High urinary gonadotropin level	None
Abnormal thymus position	None
Ectopic thymus tissue	None
Pituitary resistance to thyroid hormone	None
Neoplasm of the adrenal cortex	None
Cortical adrenal neoplasia	None
Increased thyroid-stimulating hormone level	None
Increased serum thyroid-stimulating hormone	None
High TSH	None
Increased thyrotropin level	None
Thyroid-stimulating hormone excess	None
Elevated thyroid stimulating hormone	None
TSH excess	None
Elevated thyroid stimulating hormone levels	None
Elevated circulating thyroid-stimulating hormone concentration	None
Increased thyroid-stimulating hormone	None
CRHR defect	None
Corticotropin-releasing hormone receptor defect	None
Corticotropin-releasing hormone receptor (CRHR) resistance	None
Adrenogenital syndrome	None
Primary hyperaldosteronism	None
Underdeveloped parathyroid glands	None
Parathyroid hypoplasia	None
Small parathyroid glands	None
Thyroid defect in oxidation and organification of iodide	None
Abnormality of the parathyroid morphology	None
Abnormal parathyroid morphology	None
Gastric carcinoid tumor	None
Cutaneous APUDoma	None
Neuroendocrine tumor of the skin	None
Neuroendocrine carcinoma of the skin	None
Merkel cell cancer of the skin	None
Primary undifferentiated carcinoma of the skin	None
Anaplastic carcinoma of the skin	None
Neuroendocrine tumour of the skin	None
Primary small cell carcinoma of the skin	None
Merkel cell skin cancer	None
Abnormal circulating aldosterone concentration	None
Abnormal plasma aldosterone	None
Abnormal circulating aldosterone	None
Adrenal cortical sclerosis	None
Increased radioactive iodine uptake	None
TSH deficient hypothyroidism	None
Pituitary hypothyroidism	None
Thyrotropin deficiency	None
Secondary hypothyroidism	None
Thyroid stimulating hormone deficiency	None
Low thyroid gland function due to abnormal pituitary gland	None
Abnormal radioactive iodine uptake test result	None
Aplasia/Hypoplasia of the thyroid gland	None
Neoplasm of the anterior pituitary	None
Neoplasm of the pars anterior	None
Neoplasm of the adenohypophysis	None
Thymic cyst	None
Decreased serum progesterone	None
Decreased circulating progesterone	None
Elevated LH level	None
Elevated circulating luteinizing hormone level	None
Increased circulating luteinizing hormone level	None
Elevated luteinizing hormone	None
Glomus tympanicum paraganglioma	None
Tympanic nerve tumour	None
Tympanic nerve tumours	None
Tympanic nerve tumors	None
Tympanic nerve tumor	None
Neonatal hypoparathyroidism	None
Congenital hypoparathyroidism	None
Carcinoid tumour	None
Carcinoid tumor	None
Carcinoid	None
Carcinoid tumours	None
Carcinoid tumors	None
Abnormal response to human chorionic gonadotrophin stimulation test	None
Abnormal response to hCG stimulation test	None
Abnormal circulating calcium-phosphate regulating hormone concentration	None
Abnormal Ca2+ PO4 regulating hormone level	None
Abnormal Ca-PHOS regulating hormone level	None
Decreased circulating androstenedione concentration	None
Abnormality of circulating catecholamine level	None
Catecholamine levels abnormal	None
Neoplasm of the neurohypophysis	None
Neoplasm of the posterior pituitary	None
Decreased circulating metanephrine concentration	None
Decreased circulating PTH level	None
Decreased serum PTH	None
Decreased circulating parathyroid hormone level	None
Decreased serum parathyroid hormone	None
Decreased serum parathyroid hormone level	None
Increased plasma AMH	None
Increased antimullerian hormone level	None
Increased circulating antimullerian hormone concentration	None
Posterior pituitary agenesis	None
Neurohypophysis agenesis	None
Thyroid cyst	None
Thyroid crisis	None
Congenital goiter	None
Congenital goitre	None
Decreased serum estradiol	None
disorder of pituitary gland	None
Abnormality of the pituitary gland	None
Abnormal pituitary gland morphology	None
Hyperparathyroidism	None
Elevated blood parathyroid hormone level	None
Hypoinsulinemia	None
Elevated serum IGF1	None
Increased serum insulin-like growth factor 1	None
Increased serum IGF1	None
Increased circulating insulin-like growth factor 1 concentration	None
Hyperpituitarism	None
Transient neonatal diabetes mellitus	None
Decreased circulating ACTH concentration	None
Abnormal circulating inhibin B concentration	None
Impaired cortisol response to glucagon stimulation test	None
Congenital adrenal hyperplasia	None
Enlarged parathyroid glands	None
Parathyroid hyperplasia	None
Adrenal neoplasia	None
Neoplasm of the adrenal gland	None
Thyroid carcinoma	None
ACTHR defect	None
Adrenocorticotropin receptor defect	None
Adrenocorticotropic hormone-resistant adrenal insufficiency	None
ACTH receptor defect	None
High urine cortisol level	None
Increased urinary cortisol level	None
Abnormal circulating dehydroepiandrosterone concentration	None
Abnormal serum dehydroepiandrosterone level	None
Abnormal serum DHEA	None
Abnormal serum androstenolone level	None
Abnormal hypothalamus physiology	None
Nonmedullary thyroid carcinoma	None
Thyroid cancer, nonmedullary	None
Non-medullary thyroid carcinoma	None
Carotid paraganglioma	None
Abnormal circulating fibroblast growth factor 23 concentration	None
Increased adiponectin level	None
Medullary thyroid carcinoma	None
Medullary thyroid cancer	None
Ectopic anterior pituitary gland	None
Prolactin deficiency	None
Reduced circulating prolactin concentration	None
Adrenocorticotropic hormone excess	None
ACTH excess	None
Elevated circulating catecholamine level	None
Abnormal endocrine morphology	None
Impaired cortisol response to corticotropin releasing hormone stimulation test	None
Thyroid hypoplasia	None
Small thyroid gland	None
Hypoplastic thyroid	None
Abnormal circulating leptin concentration	None
Abnormality of circulating leptin level	None
Accessory ectopic thyroid tissue	None
Impaired growth-hormone response to glucagon stimulation test	None
Decreased serum estriol	None
Decreased circulating dehydroepiandrosterone level	None
Decreased circulating dehydroepiandrosterone concentration	None
277000	None
Decreased circulating inhibin B concentration	None
Increased serum serotonin	None
Female hypogonadism	None
Hypogonadism, female	None
Elevated 18-hydroxycorticosterone to aldosterone ratio	None
Abnormal response to gonadotropin-releasing hormone stimulation test	None
Abnormal response to GnRH stimulation test	None
Increased pineal volume	None
Decreased circulating antimullerian hormone circulation	None
Anti-Mullerian hormone low	None
Decreased plasma AMH	None
Decreased antimullerian hormone level	None
Abnormal circulating thyroid hormone concentration	None
Abnormal thyroid hormone level	None
Delayed menarche	None
Delayed start of first period	None
Retroperitoneal chemodectoma	None
Retroperitoneal paraganglioma	None
Thymic carcinoid tumor	None
Abnormality of adrenal physiology	None
Endocrine system disease	None
Abnormality of the endocrine system	None
Abnormal size of pituitary gland	None
Nodular goitre	None
Nodular goiter	None
Enlarged adrenal glands	None
Adrenal hyperplasia	None
Mild hypothyroidism	None
Compensated hypothyroidism	None
Subclinical hypothyroidism	None
Decreased circulating androgen concentration	None
Decreased circulating androgen level	None
Abnormal plasma renin	None
Abnormal circulating renin	None
Abnormal circulating renin concentration	None
Decreased circulating antidiuretic hormone concentration	None
Impaired Ag-specific T cell proliferation	None
Reduced antigen-specific T cell proliferation	None
Impaired cellular adaptive immune response	None
Impaired activated T cell proliferation	None
Antigen-specific T cell proliferation defect	None
Unesterified cholesterol accumulation in cultured fibroblasts	None
Positive filipin test	None
Abnormal peroxisomal morphology	None
Abnormal cellular phenotype	None
Perivascular pseudorosette	None
Long telomere length	None
Elongated telomeres	None
Increased activity of mitochondrial respiratory chain	None
High intracellular Na	None
Increased intracellular Na+ levels	None
